stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,18.88,44.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,1,0,0,2,0,1,0,7,1,19,344,1,0,1,0,3,1,1,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0,5.75,0,21.34,17.24,0.82,0.82,1.64,0,0,0.82,1.64,6.57,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,1.61,0,7.25,11.28,0,2.42,0,0.81,0,0,0,0.81,0,0.81,0.81
 48-58,0,0,0,0,0,0,0,2.3,0.57,0,0,0,0,0,0,0,10.33,3.44,0,2.87,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0,0,4.91,0.98,0,1.96,0,0,0,0,0,12.76,5.89,0,0,0,0,0,0.98,0,2.94,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,5.89,0,0,1.96,0,0,0,0.98,0,8.83,0,0.98,4.91,0,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,1.06,1.06,1.06,0,0,0,0,5.31,0,0,2.12,1.06,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,3.28,0,0,1.09,2.19,0,1.09,3.28,0,8.74,2.19,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,1.53,0,0.77,5.36,0.77,0,0.77,0,0,0,0,0,7.66,3.06,0,3.06,0,0,0,1.53,0,0,0,0,0
120,1.96,0,0,0,1.96,0,0,7.84,1.96,0,1.96,0,0,0,0,0,5.88,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0
