stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,23,0,0,0,0,0,4,0,2,4,8,0,0,0,0,0
 24-34,6.57,6.57,1.64,0,0,10.67,0,1.64,0,3.28,1.64,2.46,0,3.28,0,0,0.82,9.85,0,0,1.64,231.48,0,2.46,0.82,0,5.75,0,0,0,0.82,22.16,0,0,4.1,0,0
 36-46,3.22,0,4.03,0,0,8.86,0,0.81,0,1.61,1.61,4.03,0,0,0.81,1.61,0.81,29,0,0,2.42,500.32,0,4.03,8.06,0,2.42,0,0.81,0,0,40.28,0,0,8.86,0,0
 48-58,2.87,0,1.15,0,0,17.21,0,2.3,1.15,8.03,3.44,4.59,0,0,0,0,1.15,35.58,0,0.57,1.15,276.57,0,2.3,5.74,0,0.57,0,0,0,0,35.58,0,0.57,5.74,0,0
 60-70,6.87,0,1.96,0,0,14.72,0,5.89,0.98,7.85,2.94,6.87,0,0.98,0.98,0.98,3.93,70.67,0,0.98,4.91,245.38,0.98,0,6.87,0.98,1.96,0,0,0,0,8.83,0,0,0,0,0
 72-82,13.74,0,11.78,0,0.98,52.03,0,2.94,0.98,10.8,9.82,12.76,0,1.96,0,0.98,3.93,97.18,1.96,3.93,3.93,284.68,0,3.93,13.74,1.96,0,0,0.98,0,0,17.67,1.96,0,8.83,0,0.98
 84-94,11.68,0,14.87,0,1.06,41.42,1.06,10.62,2.12,7.43,18.05,6.37,1.06,9.56,0,1.06,2.12,83.9,1.06,5.31,1.06,139.13,0,1.06,6.37,2.12,3.19,0,2.12,0,0,16.99,13.81,2.12,6.37,1.06,0
 96-106,4.37,0,18.58,2.19,0,38.25,0,7.65,0,6.56,8.74,10.93,1.09,1.09,1.09,3.28,5.46,78.68,2.19,5.46,1.09,144.26,1.09,1.09,13.11,1.09,5.46,0,0,0,0,10.93,27.32,1.09,9.84,2.19,0
108-118,6.89,1.53,13.02,0.77,6.13,36.77,0,12.26,2.3,8.43,9.96,4.6,1.53,1.53,0,2.3,9.96,74.3,1.53,1.53,1.53,147.06,0.77,1.53,7.66,0.77,2.3,0,0.77,0,0,9.96,22.98,2.3,12.26,1.53,0
120,5.88,1.96,3.92,0,0,27.44,0,17.64,3.92,13.72,13.72,3.92,0,3.92,0,1.96,0,56.83,0,0,1.96,178.34,0,0,11.76,3.92,0,0,0,0,0,3.92,23.52,3.92,1.96,1.96,0
