stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,5,1,0,0,1,0,0,0,0,0,15,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0
 24-34,0,0,1.64,1.64,4.1,0,0,0,0,0,0.82,0,0,0.82,51.71,0,0.82,2.46,0,0,1.64,0,0,3.28,0.82,0,0,0,0,12.31,0.82,0,0.82,0.82,0,0,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,0,2.42,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,1.61,0,3.22,0,0,0,12.09,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,8.61,0,0,4.59,4.59,1.15,1.15,1.15,0,0,2.3,0.57,0.57,1.15,0.57,0.57,1.15,0,1.15,5.74,0,1.72,0.57,0,0,20.66,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0.98,0,11.78,0,0,40.24,5.89,0.98,1.96,0,0,2.94,4.91,0,0,0.98,0,0,0,0,0,6.87,0,0.98,0,0,0,22.58,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,27.49,3.93,0,87.37,6.87,0.98,3.93,0,0.98,4.91,12.76,0.98,5.89,0,0,2.94,1.96,0.98,0.98,13.74,0,9.82,2.94,0,0.98,29.45,0,0,2.94,0,0,0,1.96,0
 84-94,0,0,2.12,0,50.98,1.06,0,76.47,23.36,1.06,16.99,2.12,0,7.43,33.99,0,1.06,2.12,0,2.12,1.06,0,0,2.12,0,2.12,4.25,0,0,114.7,0,0,5.31,0,1.06,0,0,0
 96-106,0,0,3.28,0,90.71,4.37,3.28,61.2,13.11,2.19,7.65,0,1.09,8.74,21.86,0,7.65,3.28,1.09,7.65,8.74,1.09,0,10.93,2.19,14.21,2.19,0,0,84.15,0,0,0,2.19,1.09,1.09,2.19,0
108-118,0,0,0,0,65.87,1.53,0.77,39.06,18.38,3.83,9.19,0,0,6.13,21.45,0,2.3,3.06,0,3.06,1.53,0,0,15.32,3.06,11.49,6.89,0,0.77,55.15,0,0,0.77,0.77,0,0,0,0
120,0,0,1.96,0,50.95,1.96,0,23.52,15.68,0,11.76,0,0,9.8,11.76,0,1.96,1.96,0,0,1.96,0,0,11.76,0,5.88,1.96,0,0,50.95,0,0,1.96,0,1.96,0,0,0
