stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5.26,0,7.89,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,94.63,7.89,0,0,483.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,50.35,0,176.23,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.15,97.56,0,0,2482.96,0,3.15,6.29,6.29,179.38,0,9.44,9.44,0,0,0,0
 14-21,5,0,8,813,61,4,0,3,0,79,60,0,2,0,0,0,99,2,0,63,180,124,0,2,288,0,18,0,1359,13,6,562,1299,0,2,0,0
 24-34,0,0,0,10.67,0.82,5.75,0,0.82,1.64,29.55,5.75,0.82,0,0,0,5.75,22.16,0,0,13.13,21.34,3.28,0.82,0,0,0,4.1,0,0.82,0.82,0.82,68.13,175.66,0,3.28,0,0.82
 36-46,0,0,0,0,0,0,0,1.61,6.45,7.25,3.22,0,0,0,0,0.81,16.92,0,0,8.86,10.47,0,0,0,0,0,4.03,0,0,0,0,0.81,87.01,0,2.42,0,0.81
 48-58,0,0,0,1.15,0,0.57,0.57,1.15,4.59,2.87,0,0,0,0,0,2.87,9.18,0,0,2.3,4.59,0,0,0,0,0,0.57,0,0,0,0,0,79.76,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,0.98,1.96,5.89,2.94,0,0,0,0,0.98,2.94,10.8,0,0.98,1.96,4.91,0.98,0,0,0,0,0,0,0,0,0,0,63.8,0,1.96,0,0.98
 72-82,0,0.98,0,0,0,1.96,0.98,0,6.87,11.78,0.98,0,0,0,0,6.87,8.83,0,0.98,5.89,8.83,0.98,0,0,0,0,1.96,0,0,0,0,0,50.06,0,0,2.94,0.98
 84-94,0,0,0,1.06,0,0,0,2.12,5.31,9.56,2.12,0,0,0,0,3.19,7.43,2.12,0,4.25,4.25,0,0,0,0,0,3.19,0,0,0,1.06,0,26.55,0,1.06,1.06,0
 96-106,0,1.09,0,0,0,2.19,0,1.09,4.37,6.56,1.09,0,0,1.09,0,2.19,5.46,0,0,1.09,3.28,0,0,0,0,1.09,1.09,0,0,0,0,0,8.74,0,1.09,0,2.19
108-118,0,0,0,0.77,0,0.77,0,2.3,5.36,6.89,5.36,0,0,0.77,0,4.6,1.53,0,2.3,3.83,6.89,0,0,0,0,0,0.77,0,0,0,0,0,0.77,1.53,0,0.77,0.77
120,0,0,0,5.88,0,0,0,0,1.96,3.92,3.92,0,0,1.96,0,5.88,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,1.96
