stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,1.64,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0.81,0,2.42,0,0,0,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0,0.98,2.94,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
