stage,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,1,0,0,1,1
 24-34,0.82,0.82,0,0,0,0,0,0,0,3.28,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0.81,0,8.86,0,0,0,1.61
 48-58,0.57,2.3,0,0,0,0,0,0,0.57,2.3,0,0,0,0.57
 60-70,0,4.91,0,0,0,0,0,0.98,0,2.94,0,0,0,0
 72-82,0.98,0.98,0,0.98,0,0,0.98,0.98,0,3.93,0,0,0,0
 84-94,0,3.19,1.06,0,0,0,0,2.12,0,2.12,0,0,0,0
 96-106,0,3.28,0,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,2.3,0,0.77,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
