stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1581.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,711.04,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,42.06,84.12,0,0,0,157.72,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,1035.71,18.4,0,0,559.92,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,59.79,100.7,0,9.44,0,154.2,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,1683.63,22.03,0,0,632.54,0,0,9.44,3.15,69.23,3.15,3.15,0,0,0,0,0
 14-21,0,0,14,88,34,0,64,0,0,33,8,0,0,0,4,0,0,0,62,0,0,52,1003,33,8,7,32,0,20,1,96,5,62,285,0,0,3,0,0
 24-34,0,0.82,1.64,43.51,10.67,0,232.3,0.82,0.82,27.91,0.82,0,0.82,4.93,0,2.46,5.75,3.28,131.34,2.46,0,58.28,1376.58,12.31,9.03,13.13,0,0.82,30.37,0,0,0.82,11.49,298.79,0,0,18.06,0,0.82
 36-46,0,0,0.81,21.75,13.7,0,462.45,0.81,0,24.98,2.42,0,2.42,4.83,0,3.22,0.81,2.42,108.77,0.81,7.25,37.87,839.51,4.83,8.06,4.03,0,0,11.28,0,0.81,0.81,0,186.11,0,0,6.45,0,1.61
 48-58,0,0,0.57,10.9,9.75,0,395.93,1.72,1.72,24.1,1.15,0,1.72,0.57,0,1.72,1.72,3.44,115.33,1.15,5.74,32.13,332.23,1.72,2.3,3.44,0,0,5.16,0,0,0,0,50.49,0,0,5.74,0,4.02
 60-70,0,0,0,17.67,2.94,0.98,261.08,0.98,0,39.26,1.96,0,0.98,3.93,0,1.96,0,1.96,97.17,0,7.85,11.78,209.06,4.91,1.96,2.94,0,0.98,3.93,0,0,1.96,0,9.82,0,0,0.98,0,0
 72-82,0,0,0,14.72,3.93,0,108.96,0,1.96,38.28,7.85,0,3.93,4.91,2.94,1.96,2.94,1.96,107.98,0.98,3.93,22.58,154.12,1.96,4.91,8.83,0,0,3.93,0,0,0.98,0,4.91,0.98,0,11.78,0.98,0.98
 84-94,0,0,0,22.3,7.43,0,99.83,0,2.12,43.54,10.62,0,0,3.19,2.12,1.06,1.06,1.06,120.01,1.06,8.5,20.18,134.88,2.12,0,6.37,0,0,4.25,0,0,1.06,0,2.12,4.25,0,12.74,2.12,0
 96-106,0,0,0,20.76,9.84,0,74.31,0,2.19,28.41,8.74,0,3.28,7.65,0,1.09,3.28,1.09,71.04,0,1.09,17.49,99.45,4.37,5.46,10.93,0,0,4.37,0,0,2.19,0,0,1.09,1.09,9.84,2.19,0
108-118,0,0,0.77,16.09,23.74,0.77,91.15,1.53,0.77,36,8.43,0,0,9.96,0.77,1.53,3.06,5.36,54.38,0,5.36,15.32,166.98,1.53,5.36,6.89,0,1.53,6.13,0,0,4.6,0,2.3,1.53,0,6.89,0,0
120,0,0,0,7.84,31.36,0,60.75,0,0,45.08,0,0,1.96,11.76,1.96,1.96,0,3.92,43.12,0,0,15.68,123.47,1.96,3.92,7.84,0,0,3.92,0,0,0,0,5.88,0,0,9.8,0,0
