stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,3
 24-34,0,0,1.64,0,0,0,2.46,0,0.82,0,0,0,0,2.46,0,0,1.64,0,1.64
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,6.45,0.81,0,7.25,0,0
 48-58,0,0,0,3.44,0.57,0.57,0,0.57,0,0,0,0,0,1.15,0.57,0,0.57,0,0
 60-70,0,0,1.96,10.8,0.98,0,0,0.98,0,0,0,0,0,2.94,0.98,0,2.94,0,0
 72-82,0,0.98,0,8.83,0,0.98,0.98,2.94,0,0,0,1.96,0,1.96,0,0,3.93,0,0
 84-94,0,0,3.19,6.37,0,0,1.06,7.43,0,1.06,0,3.19,0,0,0,0,12.74,0,0
 96-106,0,0,3.28,4.37,1.09,0,0,0,0,0,0,2.19,0,2.19,1.09,0,14.21,0,0
108-118,0,0,11.49,3.06,0.77,0,1.53,2.3,0,0.77,0.77,0,0,0.77,0,0,9.96,0,0
120,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,7.84,0,0
