stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,22.03,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,4,0,0
 24-34,0,0,0.82,0,4.1,1.64,0,0,0,0,0,0,0,5.75,0,0,1.64,33.66,0,0,0,0,0,0,0,0,0.82,7.39,0.82,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,22.56,0,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0.57,0,3.44,0,0,0.57,0,0,0,0,0,5.16,0,0,0,27.54,0,0.57,0.57,0,0,0,0,0,0,3.44,0,0
 60-70,0,0,0.98,0,5.89,0,0,0.98,0,0,0.98,0,0,3.93,0,0,0,22.58,0,0,0,0,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0,5.89,0.98,0,0,20.61,0,0,0,0,0,0,0,0,0,3.93,0,0.98
 84-94,0,0,2.12,0,2.12,0,0,0,0,0,0,1.06,1.06,3.19,0,0,0,11.68,0,0,0,0,1.06,2.12,0,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,3.28,0,0,0,0,1.09,0,0,0,2.19,1.09,0,0,4.37,0,0,2.19,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0.77,0,0,0.77,0,0,0,2.3,0,0.77,0,15.32,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,0,3.92,0,0,1.96,17.64,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0
