stage,blastomeres,endoderm,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,2.63,0,2.63,0
 10-12,3.15,3.15,3.15,0,0,0,0,0,28.32,0,9.44,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,2
 24-34,0,0,0,0,0,0,0,0,10.67,0.82,0,4.1
 36-46,0,0,0.81,0,0,0,0,0,15.31,0,0,3.22
 48-58,0,0,2.87,0,0.57,0.57,0,0,12.05,0,0,1.72
 60-70,0,0,5.89,0,1.96,0.98,0.98,0,10.8,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0.98,4.91,0,0,0
 84-94,0,0,4.25,0,0,2.12,0,0,2.12,1.06,0,0
 96-106,0,0,1.09,0,0,0,0,0,4.37,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0
