stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,9.44,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,28.32,0,0,0,22.03,0,3.15,3.15,0,0,0,0
 14-21,0,0,3,35,37,2,0,0,0,6,0,0,16,0,0,0,0,0,0,287,0,0,238,79,0,0,0,1,0,0,4,1,0,27,121,0,1,0,0
 24-34,0,0,0,8.21,3.28,6.57,0,0,1.64,10.67,0,0,14.78,0,2.46,0,0,0.82,1.64,369.39,0,0,105.89,54.18,0.82,0,0,0,0.82,3.28,0,0,0.82,0.82,56.64,0,18.88,0,0.82
 36-46,0,0,0,4.03,2.42,14.5,1.61,0.81,6.45,2.42,0,0,8.86,0,2.42,0,0.81,0,0,324.68,0,0.81,82.18,55.59,0,0,0,0,2.42,3.22,0.81,0,0,0,4.03,0,5.64,0,0
 48-58,0,0,0,5.16,0,19.51,0,0,17.79,1.15,0,0,8.61,0.57,1.72,0,0,0,0,400.52,0,3.44,64.27,55.66,0,0.57,0,0,5.74,5.74,0,0,4.59,0,6.31,1.72,4.02,0,0
 60-70,0,0.98,0,2.94,0.98,20.61,1.96,2.94,28.46,2.94,0,0,3.93,1.96,0,0,0,0,0,387.7,0,15.7,27.48,28.46,0.98,0,0,0,2.94,4.91,0,0,1.96,0,1.96,11.78,2.94,2.94,0
 72-82,0,0,0,3.93,4.91,43.19,0,1.96,59.88,5.89,1.96,0,4.91,0,0.98,0,0,0,0.98,507.52,0,10.8,75.59,35.34,0,0,3.93,0,3.93,7.85,0,0,0,0,3.93,14.72,2.94,13.74,0.98
 84-94,0,0,0,5.31,0,67.97,1.06,1.06,42.48,10.62,1.06,0,4.25,1.06,1.06,0,1.06,0,0,335.6,0,18.05,65.85,20.18,1.06,1.06,2.12,0,4.25,23.36,0,0,0,0,3.19,7.43,1.06,18.05,0
 96-106,0,1.09,1.09,8.74,0,32.79,2.19,4.37,38.25,9.84,3.28,0,1.09,0,1.09,1.09,0,1.09,0,293.98,1.09,12.02,71.04,39.34,0,1.09,10.93,0,4.37,17.49,0,1.09,0,0,1.09,8.74,4.37,15.3,0
108-118,0,0,0,1.53,0,24.51,0.77,6.89,45.96,4.6,0,0,3.83,3.06,6.89,0.77,0,1.53,0,251.24,0.77,10.72,87.32,32.17,0.77,0,6.13,0,5.36,8.43,0,1.53,0,0,0,4.6,0.77,11.49,0
120,0,0,0,3.92,0,23.52,3.92,5.88,48.99,0,1.96,0,0,0,0,0,0,0,0,207.74,0,7.84,84.27,21.56,0,0,5.88,0,1.96,3.92,0,0,0,0,0,7.84,1.96,5.88,0
