stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,686.52,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,26.29,0,39.43,0,0,0,70.98,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,696.61,23.66,0,0,257.61,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,37.76,0,9.44,0,94.41,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,676.6,37.76,0,0,270.64,0,3.15,0,0,28.32,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,3,70,17,0,34,0,0,16,5,0,0,0,6,0,0,0,0,46,0,0,37,540,23,3,4,23,0,14,0,59,6,0,39,181,0,0,1,0,0
 24-34,0,0,0,1.64,34.48,4.93,0,178.13,1.64,0,22.16,0,0,1.64,4.93,0,2.46,3.28,1.64,0,137.08,0,0.82,55.82,1018.68,8.21,9.03,9.85,0,0,33.66,0,0,1.64,0,4.1,199.47,0,0,23.8,0,2.46
 36-46,0,0,0.81,0,12.09,4.03,0,281.18,0.81,0.81,18.53,0.81,0,3.22,1.61,0.81,0,2.42,1.61,0,93.46,0,2.42,37.06,571.22,2.42,4.83,8.06,0,0,18.53,0,0.81,0.81,0,0,116.82,0,0,12.09,0,1.61
 48-58,0,0,0,0,12.62,1.72,0,287.48,1.15,1.72,15.49,2.3,0,1.72,4.02,0.57,1.72,0.57,0.57,0.57,106.15,1.72,5.16,23.53,281.74,1.72,1.72,4.02,0,0,5.16,0,0,0.57,0,0,39.59,0,0,10.9,0,2.87
 60-70,0.98,0,0.98,0,20.61,0.98,0,207.1,2.94,1.96,30.43,2.94,0,2.94,0.98,0,1.96,3.93,0.98,0,99.13,0,7.85,12.76,175.69,2.94,0.98,0,0,0,7.85,0,0,0.98,0,0,14.72,0,0,8.83,0.98,2.94
 72-82,0,0,0,0,19.63,2.94,0,109.95,0.98,0.98,37.3,1.96,0,2.94,2.94,0,0.98,0,0.98,0,97.18,0.98,4.91,19.63,163.94,1.96,2.94,3.93,0,0.98,5.89,0,0,0,0,0,1.96,0,1.96,12.76,0,0.98
 84-94,0,0,0,0,26.55,5.31,0,76.47,0,5.31,22.3,12.74,0,1.06,6.37,4.25,5.31,1.06,2.12,0,83.9,1.06,10.62,18.05,121.07,2.12,4.25,3.19,0,0,8.5,0,0,0,0,0,1.06,0,0,10.62,0,0
 96-106,0,0,1.09,0,25.14,7.65,0,76.5,3.28,2.19,42.62,7.65,0,1.09,13.11,2.19,1.09,4.37,5.46,0,66.66,3.28,3.28,8.74,91.8,2.19,5.46,9.84,0,1.09,25.14,0,0,3.28,1.09,0,1.09,0,1.09,13.11,1.09,1.09
108-118,0,0,0,0,10.72,5.36,0.77,47.49,1.53,3.83,29.11,6.13,0,0.77,6.13,1.53,3.06,0.77,0.77,0,55.92,0,0,8.43,138.64,0.77,2.3,0.77,0,0.77,9.96,0,0,0,0,0,0.77,2.3,0.77,11.49,0.77,0
120,0,0,0,0,74.47,29.4,0,74.47,11.76,1.96,54.87,9.8,0,3.92,15.68,3.92,0,1.96,0,3.92,80.35,0,3.92,15.68,164.62,3.92,13.72,5.88,0,0,47.03,0,0,1.96,0,0,5.88,3.92,3.92,21.56,1.96,0
