stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,75.53,0,151.05,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,1019.62,69.23,0,0,2668.63,0,0,3.15,3.15,217.14,0,18.88,3.15,0,0,0,0,0
 14-21,2,0,1,328,40,0,0,4,0,59,32,1,0,0,1,0,0,0,0,104,0,0,62,106,45,0,0,225,0,1,0,509,0,11,184,937,0,0,4,0,1
 24-34,0,0,3.28,33.66,0,9.03,0,11.49,7.39,90.29,11.49,0,0.82,0,0,0,0,0,4.1,105.07,0,0,117.38,129.7,12.31,1.64,0.82,0,0,5.75,0,0,1.64,14.78,61.56,810.18,0,0,24.63,0,3.28
 36-46,0,0,0,4.83,0,9.67,3.22,6.45,16.11,70.9,2.42,0,0,0.81,0,0,0,0.81,2.42,190.94,0,4.03,105.54,153.88,5.64,0.81,0,0,0,4.83,0,2.42,0,11.28,2.42,1247.98,0,0,13.7,0,5.64
 48-58,0,0,0,4.02,0,43.61,2.87,4.59,27.54,74.02,1.15,0,0,0,0,0.57,0.57,1.15,2.3,201.98,0,6.89,86.07,177.31,5.16,0.57,0,0,0,1.72,0,0,0,5.74,0,1163.68,0,0.57,11.48,0.57,1.15
 60-70,0,0,0,1.96,0,33.37,0,4.91,23.56,71.65,1.96,0,0,0,0,0,0,0.98,4.91,158.03,0,13.74,42.21,89.32,5.89,0,0.98,0,0,2.94,0,0,0,3.93,0,756.75,0,1.96,7.85,5.89,4.91
 72-82,0,2.94,0,9.82,0.98,29.45,1.96,2.94,40.25,137.43,2.94,0,0,0,0,0,0,0,1.96,171.79,0,21.6,37.3,96.2,2.94,1.96,0.98,0,0,1.96,0,0,0,1.96,0,312.17,0,2.94,5.89,11.78,1.96
 84-94,0,1.06,0,12.74,1.06,31.86,2.12,5.31,31.86,99.83,9.56,0,1.06,0,2.12,6.37,0,0,6.37,111.51,1.06,13.81,38.23,57.35,2.12,1.06,0,0,0,3.19,0,0,0,3.19,0,221.97,0,2.12,14.87,7.43,6.37
 96-106,0,1.09,0,7.65,1.09,19.67,0,2.19,19.67,75.41,8.74,0,0,1.09,0,1.09,0,0,2.19,108.19,0,8.74,25.14,44.81,1.09,0,0,0,1.09,4.37,0,0,0,1.09,0,91.8,0,3.28,18.58,15.3,3.28
108-118,0,0,0,4.6,0,6.89,0,5.36,16.09,55.92,3.83,0,0,0.77,0,1.53,0,0,4.6,72,0,7.66,29.11,38.3,5.36,0.77,0,0,1.53,2.3,0,0,0,4.6,0,55.15,0.77,0.77,4.6,6.89,1.53
120,0,0,0,11.76,0,3.92,0,1.96,13.72,23.52,7.84,0,0,1.96,0,0,1.96,0,0,68.59,0,13.72,37.24,41.16,5.88,0,0,0,3.92,0,0,1.96,0,1.96,0,21.56,0,0,5.88,3.92,1.96
