stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,5.26,0,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,3.15,0,0,75.53,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,13,3,0,13,0,0,0,2,2,1,3,0,0,0,0,1,0,19,0,10,133,1,0,2,4,0,0,1,24,0,50,54,53,0,0,1,0,0
 24-34,0,0,0,0.82,7.39,0.82,0,27.91,4.1,0,0,2.46,0,0,1.64,0,0,0,0.82,0,0.82,26.27,0,14.78,184.69,0.82,0,4.93,0,0,3.28,0,0,0.82,13.95,19.7,51.71,0,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,0,42.7,4.03,0,0.81,12.89,0.81,0,2.42,0,0,0.81,0,0.81,0,22.56,0,8.86,145.02,0,0,0,0,0,6.45,0,0,0.81,4.83,0.81,29,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,0,48.77,5.16,0,2.3,13.77,0,0,1.15,0.57,0,0.57,0.57,0,0.57,30.41,1.15,4.59,95.25,0.57,0.57,0.57,0,0,2.87,0,0,0,2.87,0,21.23,0,0,2.87,0,0.57
 60-70,0,0,0,0,2.94,0,0,48.09,1.96,0.98,1.96,23.56,0,0,0,0,0,0,0,0,0,32.39,0.98,5.89,73.61,0.98,0,1.96,0,0,2.94,0,0,0,3.93,0,12.76,0.98,0.98,3.93,0,0
 72-82,0,0,0,0,1.96,0,0,47.12,1.96,0,2.94,24.54,0,0,1.96,0,0,0.98,1.96,0,0,33.38,2.94,8.83,99.15,1.96,0,0.98,0,0.98,5.89,0.98,0,0.98,1.96,0,13.74,0,2.94,4.91,0,0
 84-94,0,0,1.06,0,7.43,0,0,37.17,3.19,1.06,3.19,25.49,1.06,0,2.12,1.06,0,3.19,0,0,0,50.98,4.25,7.43,52.04,1.06,0,1.06,0,0,12.74,0,0,3.19,1.06,0,9.56,0,1.06,4.25,0,0
 96-106,0,0,0,0,8.74,0,0,36.06,2.19,2.19,1.09,20.76,2.19,0,2.19,1.09,1.09,3.28,1.09,0,0,50.27,0,6.56,53.55,1.09,0,3.28,0,2.19,7.65,0,0,1.09,0,0,4.37,2.19,2.19,2.19,3.28,2.19
108-118,0,0,0,0,9.96,0,0.77,19.92,0,3.06,2.3,18.38,0.77,0,0,0.77,0.77,3.06,1.53,0,0.77,48.26,0,8.43,67.4,2.3,1.53,2.3,0,0,3.83,0,0,0,3.83,0,2.3,0,1.53,6.89,1.53,0.77
120,0,0,0,1.96,9.8,1.96,0,21.56,0,1.96,1.96,21.56,0,0,0,0,0,0,0,0,0,21.56,0,1.96,41.16,1.96,0,7.84,0,0,3.92,0,0,0,0,0,1.96,0,0,3.92,0,1.96
