stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,7.89,0,0,0,2.63,0,0,0,0,0,73.6,2.63,0,23.66,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,9.44,0,0,0,0,0,0,0,0,0,53.5,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,3,0,1,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,0.82,0,0,0.82,0,0,3.28,2.46,32.83,0,0,0,0.82,0,0.82,4.93,0,0.82,0
 36-46,0,0,0,2.42,0,1.61,0.81,0.81,0,0,0,0,0,3.22,1.61,17.72,0,0.81,0,0,0,0,2.42,0,0.81,0
 48-58,0,0,0,0.57,0,6.31,0,1.72,0,0,0,0.57,0.57,4.59,0.57,8.03,0,0,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0.98,0,3.93,0,2.94,0,0,0,0,0,1.96,0.98,13.74,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,2.12,0,1.06,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0
