stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,42.91,514.89,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,26.29,0,0,0,23.66,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,344.36,15.77,0,0,165.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,9.44,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.32,3.15,0,0,110.14,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,40,0,0,1,0,0,1,6,0,1,17,0,0,0,0,0
 24-34,0,0,0,4.1,1.64,0,11.49,0,0,0.82,2.46,0,0,0,0.82,0.82,0,0.82,0,9.85,0,2.46,99.32,0,0.82,0.82,0,0,4.1,0,0,2.46,15.6,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,17.72,0,0,0,1.61,0,0,0,0,0.81,0,0,0,4.83,0,1.61,66.87,0,0.81,0,0,0,4.83,0,0,0,15.31,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,24.1,0.57,0.57,0.57,1.72,0,0,0,0,0,0,0,0,5.74,0,2.87,34.43,0,0,0,0,0,1.15,0,0,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,27.48,0.98,0.98,0,5.89,0,0.98,0,0,0,0,0,0.98,3.93,0,0.98,42.21,0,0,0,0,0.98,0.98,0,0,0,3.93,0,0,0.98,0.98,0
 72-82,0,0,0,0,0,0,27.49,0,0,0,3.93,0,0,0.98,0,0,0.98,0,0,6.87,0,0.98,25.52,0,1.96,1.96,0,0,1.96,0,0,0,2.94,0,0,0.98,0,0
 84-94,0,0,0,1.06,2.12,0,11.68,0,0,0,5.31,1.06,0,0,1.06,0,0,0,0,5.31,0,1.06,20.18,0,0,1.06,0,0,4.25,0,0,0,0,1.06,0,1.06,1.06,0
 96-106,0,0,0,2.19,0,0,6.56,0,0,0,7.65,0,0,0,0,0,0,0,0,4.37,1.09,0,6.56,0,0,0,0,0,2.19,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0.77,0,8.43,0,0,0,5.36,0,0,0,0.77,0,0,0,0,4.6,0,2.3,9.96,0,0,1.53,0,0,0.77,0,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,0,1.96,15.68,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0,3.92,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
