stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0,1,4,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,27.09,6.57,1.64,0,0,0.82,0.82,13.13,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0.81,51.56,16.92,0,0,0,0,0,23.36,0,0,0
 48-58,0,0,0,1.15,0,5.74,0,0,0.57,2.3,0,0,0,0,0,0.57,0,0,70.58,13.77,1.72,0,0,0,0,24.1,0,0,0
 60-70,0,0,0,0,0,9.82,0,0.98,0,1.96,0,0,0.98,0,0,0,0.98,0,109.93,7.85,0,0,0.98,0,0,20.61,0,0,0
 72-82,0,0,0,0.98,0,9.82,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0,129.58,21.6,3.93,0,0,0,0,21.6,0,0,0.98
 84-94,0,0,0,1.06,1.06,16.99,0,0,0,3.19,0,0,0,1.06,1.06,1.06,3.19,0,56.29,16.99,7.43,0,0,0,0,9.56,0,0,0
 96-106,0,2.19,0,4.37,0,13.11,0,0,0,4.37,0,0,0,0,0,3.28,2.19,0,69.94,32.79,6.56,0,0,0,0,5.46,0,0,0
108-118,0,0.77,0,2.3,0,14.55,1.53,0,0,8.43,0.77,0,0,0,0.77,0.77,0.77,0,71.23,14.55,0.77,0,1.53,0,0,6.89,1.53,0.77,0
120,0,1.96,0,3.92,1.96,19.6,0,0,0,13.72,0,0,0,0,1.96,0,0,0,94.07,13.72,1.96,0,1.96,0,0,9.8,0,0,0
