stage,blastomeres,eye,fin.epithelia,fin.mesenchyme,heart,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0
 84-94,0,1.06,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,1.96,0,0,1.96,3.92,0,3.92,0,0,0,0,0,0,0
