stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,3.28,0,0,0,0,0,1.64,0,0,54.18,0,0,0.82,0,0,0,0,0.82,0,0,19.7,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,3.22,0,0.81,5.64,0,0,0,0,0,0.81,0,0,46.73,0,0,0.81,0,0,0,0,0,0,0,17.72,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,1.15,0,1.15,18.94,0,0,0,0,2.87,4.59,0,0.57,21.23,0,0,0.57,0,0,0.57,0,0.57,0,0,22.95,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,5.89,0,0.98,52.02,0,0.98,0,0,17.67,32.39,0,1.96,7.85,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,0,6.87,1.96,0,13.74,0,0,71.66,7.85,0,0.98,0.98,93.26,124.67,0.98,3.93,19.63,0,0,0.98,0,1.96,0.98,0,3.93,0,0,1.96,0,0.98,0,0.98,0
 84-94,0,0,0,2.12,1.06,1.06,12.74,1.06,1.06,39.3,9.56,0,0,1.06,361.09,58.41,0,1.06,16.99,0,0,0,0,1.06,2.12,0,13.81,0,0,2.12,0,0,2.12,0,0
 96-106,0,0,0,5.46,3.28,0,20.76,0,1.09,44.81,13.11,1.09,1.09,0,534.4,121.31,0,2.19,64.48,0,1.09,0,0,4.37,2.19,0,14.21,1.09,0,4.37,1.09,0,1.09,1.09,1.09
108-118,0,0,0,5.36,3.06,0,17.62,0.77,2.3,26.81,25.28,0,0.77,0,1043.24,149.36,0,2.3,54.38,0,0.77,0,0,1.53,3.06,0,13.79,0.77,0,0.77,0,0,1.53,0.77,0.77
120,0,0,1.96,3.92,1.96,0,13.72,1.96,0,33.32,15.68,0,0,0,438.99,139.14,0,3.92,45.08,0,0,1.96,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0
