stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,0,0,2,1,5
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.82,6.57
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,0.81,2.42,0,0.81,0.81,0,1.61,0,0,4.03
 48-58,0,0,0,0,0,0,1.72,0,0,0,1.15,1.15,0.57,0,0,0,0,1.15,0,0,2.3
 60-70,0,0,0,0,0,0.98,1.96,0,0,0,2.94,0,0.98,0,0.98,0,0,2.94,0,0,0.98
 72-82,0,0,0,0,0,0.98,2.94,0,0,0,0.98,0,1.96,0,0.98,0,0,1.96,0,0,0.98
 84-94,0,0,0,0,0,0,3.19,0,0,0,0,1.06,0,0,0,1.06,0,4.25,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,1.09,0,2.19,0,0,1.09,0,0,2.19
108-118,0,0,0,0,0.77,0.77,0.77,0,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0
