stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,13.95,0,0,4.93,0.82,0.82,1.64,0.82,0.82,0,0,0,0,0,0.82,1.64,0.82,0,0,1.64,9.03,7.39,0,0,0,20.52,0,0,2.46,1.64,4.1,3.28,0,0,1.64,0,0
 36-46,0,0,0,10.47,0.81,0,10.47,2.42,2.42,5.64,0.81,0,0,1.61,0,0,0,0.81,0,2.42,0,0,1.61,16.11,5.64,0,0,0,16.11,0,0,3.22,0,0.81,10.47,0,0,0,0,0
 48-58,0,0,0,4.02,0,0,10.9,0.57,1.72,8.61,2.87,3.44,0,0,0,0,0,5.74,0.57,10.33,0,2.3,4.59,32.13,7.46,0.57,0.57,0.57,20.08,0,0,2.87,0,0,13.77,0,0,1.15,0,2.3
 60-70,0,0.98,0,1.96,0,0,17.67,0.98,0.98,6.87,5.89,4.91,0,0.98,0,0.98,0,9.82,0,10.8,0,0.98,0.98,68.71,0.98,0.98,1.96,0,9.82,0.98,0,3.93,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,7.85,28.47,4.91,0.98,4.91,3.93,21.6,0,1.96,1.96,0.98,0.98,54.97,0,32.39,0,0.98,4.91,84.42,0.98,0,1.96,0,7.85,0,0,9.82,0.98,0,5.89,0.98,0.98,0,1.96,0
 84-94,0,1.06,0,5.31,1.06,26.55,22.3,2.12,2.12,8.5,6.37,24.43,0,4.25,5.31,5.31,0,129.57,0,39.3,0,3.19,4.25,50.98,3.19,1.06,4.25,0,37.17,0,0,39.3,0,0,3.19,1.06,3.19,2.12,2.12,0
 96-106,0,1.09,1.09,4.37,1.09,36.06,17.49,1.09,1.09,2.19,9.84,20.76,1.09,5.46,1.09,0,0,143.16,0,24.04,0,1.09,9.84,52.46,4.37,0,2.19,0,15.3,1.09,0,25.14,0,0,3.28,0,1.09,1.09,1.09,0
108-118,0,0,0,3.83,0.77,42.13,20.68,3.06,0,1.53,9.96,10.72,0,2.3,3.06,0,0,333.19,0,20.68,0,0,3.83,64.34,0,0.77,1.53,0,16.09,0,0,22.21,0.77,0,3.06,0,0.77,2.3,0.77,0
120,0,1.96,0,0,1.96,5.88,19.6,1.96,1.96,0,3.92,1.96,0,9.8,3.92,0,0,97.99,0,7.84,1.96,0,1.96,35.28,0,0,0,0,13.72,0,0,9.8,0,0,0,0,0,0,0,0
