stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,23.66,0,0,10.51,0,0,0,0
 10-12,0,3.15,6.29,0,0,3.15,0,0,56.65,0,0,6.29,0,3.15,0,0
 14-21,0,0,0,3,1,0,0,2,9,0,0,0,2,0,5,1
 24-34,0,0,0,0.82,0,3.28,0,0,8.21,0.82,0,0,0,0,1.64,0.82
 36-46,0,0,0,0,0,1.61,0,0,7.25,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,1.15,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06
108-118,0,0,0,0,0,0.77,1.53,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
