stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,36.8,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,12,10,20,2,1,1,0,5,14,72,2,4,3,8,10,1,28,8,0,0
 24-34,0,0.82,0,1.64,0.82,8.21,0,0,0,0,4.1,1.64,39.4,0,0,0,0.82,0,0,1.64,6.57,0.82,0.82
 36-46,0,0,0,0,0.81,1.61,0.81,0,0,0.81,0.81,0,6.45,0,0,0,0,0,0,0,0.81,1.61,0
 48-58,0,0,0,0,0,1.72,0.57,0,0,0.57,0,0,7.46,0,0,0,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,1.96,0,1.96,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,1.96,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
