stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,9,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,23,1,1,0,1,0,3,1,2,0,3,5,0,0,5,0,0
 24-34,0,0,0,3.28,1.64,0,0,4.93,0,0.82,0,0,0,0,0.82,0,0,1.64,0,0.82,0,0,2.46,21.34,0,2.46,0.82,0,0,14.78,0,2.46,0,0,5.75,0,0,5.75,0,0
 36-46,0,0,0,0,3.22,0,0,0.81,0,1.61,0,0,1.61,0,0,0,0,0,0,3.22,0,0,1.61,12.89,0,4.83,0,0,0,22.56,2.42,1.61,0,0,2.42,0,0,3.22,0,0
 48-58,0,0,0,0,3.44,0,0,3.44,0,2.3,0.57,0,0,0.57,0,0,0,0.57,0,3.44,0,0,0,15.49,0.57,4.02,0,0,0,8.61,0,0.57,0.57,0,1.72,0,0,2.3,0,0
 60-70,0,0,0,0,2.94,0,0,3.93,0,7.85,0,0,0,1.96,0,0,1.96,0,0,0.98,0,0,0.98,5.89,0,1.96,0,0,0,21.59,0,0.98,0.98,0,0.98,0,0,2.94,0,0
 72-82,0,0,0.98,0,0.98,0,0,1.96,0,5.89,2.94,0,1.96,4.91,0.98,0,0,0.98,0,7.85,0,0.98,0,5.89,0,3.93,0.98,0,1.96,7.85,0,0,0,0,0.98,0,0,9.82,1.96,0
 84-94,0,0,2.12,0,4.25,1.06,0,2.12,1.06,2.12,5.31,1.06,0,11.68,0,0,0,0,1.06,8.5,0,3.19,1.06,4.25,0,6.37,1.06,0,0,42.48,0,0,0,0,0,1.06,0,8.5,0,1.06
 96-106,0,0,1.09,0,5.46,0,0,4.37,1.09,3.28,7.65,0,1.09,7.65,2.19,1.09,1.09,0,0,3.28,1.09,0,2.19,6.56,0,9.84,1.09,0,0,36.06,0,1.09,0,0,0,0,0,9.84,0,0
108-118,0,0,0,0,4.6,0,0,1.53,0,2.3,2.3,0,0.77,7.66,0,0.77,0,0.77,0,3.83,0,0,0.77,3.06,0,5.36,1.53,0,0,17.62,0,0.77,0.77,0,0,0,1.53,9.19,0,0
120,0,0,0,0,5.88,0,1.96,0,3.92,1.96,7.84,0,1.96,21.56,1.96,0,0,0,0,3.92,0,1.96,3.92,3.92,0,7.84,0,0,0,25.48,0,1.96,0,0,1.96,0,1.96,11.76,0,0
