stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,34,0,0,1,0,0,0,2,0,0,1,18,0,0,1,0,0
 24-34,0,0.82,0.82,0.82,0,10.67,0,0,0,18.88,1.64,0,0,0,1.64,0,0,0,0,4.1,0,0,0.82,332.45,0.82,0.82,0,0,0.82,0,0,0,0,0.82,73.06,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,26.59,0,0,0,150.66,0,0,0.81,0,0,0.81,0,0,0,5.64,0.81,0,0,1000.64,0,0,0.81,0,1.61,1.61,0,0,0,0,194.97,0,0,3.22,0,0.81
 48-58,0,0,4.59,1.15,0,95.83,0,0.57,0,385.02,0,0,0,0.57,0,0.57,0,0,2.87,25.25,0,0,5.74,1420.74,1.72,2.3,3.44,0,4.02,0,0,0,0,0,300.1,0,0.57,1.15,0,4.02
 60-70,0,0,12.76,0.98,0,145.27,0,1.96,1.96,575.17,0.98,0.98,0,1.96,0,2.94,0,0,0.98,65.76,0.98,0,2.94,2190.76,0.98,0,5.89,0.98,3.93,0,0,0,0.98,0,380.83,0,0,1.96,0,2.94
 72-82,1.96,0,16.69,2.94,0,265.05,0.98,0.98,5.89,777.48,0.98,0,1.96,1.96,0.98,0.98,0.98,0,0,96.2,0,2.94,5.89,1767.97,0.98,0.98,4.91,0.98,5.89,0,0,0,0,0,223.82,0.98,3.93,11.78,1.96,3.93
 84-94,0,0,22.3,2.12,2.12,210.28,1.06,4.25,0,533.14,1.06,0,1.06,0,0,4.25,0,3.19,4.25,59.47,0,3.19,3.19,905.92,2.12,1.06,11.68,1.06,5.31,0,0,1.06,1.06,0,167.8,3.19,1.06,5.31,4.25,5.31
 96-106,0,0,30.6,5.46,1.09,155.18,5.46,3.28,1.09,480.85,4.37,0,3.28,4.37,0,1.09,1.09,0,0,72.13,1.09,0,4.37,737.67,3.28,0,10.93,1.09,6.56,0,0,1.09,0,0,74.31,3.28,2.19,12.02,2.19,4.37
108-118,0,0,20.68,0.77,0.77,79.66,1.53,3.06,2.3,444.26,2.3,0,0,1.53,2.3,8.43,1.53,2.3,0,75.83,0,1.53,1.53,868.6,3.06,1.53,14.55,0.77,2.3,0,0,0.77,0,0,50.55,1.53,1.53,6.89,0.77,3.83
120,0,0,15.68,7.84,1.96,96.03,0,5.88,1.96,452.71,1.96,0,3.92,1.96,5.88,0,0,7.84,0,56.83,0,0,1.96,1052.4,7.84,1.96,11.76,0,3.92,0,0,5.88,0,0,41.16,0,1.96,3.92,0,1.96
