stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,500.76,10792.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.87,0,0,0,0,0,0,0,0,0
  5-6,815.24,6785.51,0,6.13,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,140.98,12.26,0,30.65,471.98,0,0,0,0,0,0,0,0,0
  7-9,186.64,28.92,0,123.55,0,0,549.4,0,0,0,0,318.07,0,0,0,0,0,0,733.41,39.43,0,194.52,70.98,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,468.9,0,0,0,0,12.59,0,0,0,0,0,0,242.32,12.59,0,25.18,25.18,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,11,0,4,0,0,0,0,2,0,1,0,1,2,1,7,2,0,0,53,0,2,0,5,1,2,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,6.57,1.64,0,0,0,0,0,1.64,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0.81,0,0,0.81,0,2.42,0,0.81,5.64,0,0,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0.57,0,0,0,0,0,4.59,2.3,0,5.74,0,0,0,1.15,0,0,0.57,0,0,2.3,0,0.57,0
 60-70,0,0,0,0,0,0,4.91,0,0,0,0.98,0,0,0,0,17.67,2.94,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,0.98,0,0,0,0,0,0,0,86.39,0.98,0.98,15.71,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,3.19,0,0,0,1.06,0,0,4.25,0,280.38,0,0,13.81,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,4.37,1.09,12.02,1.09,1.09,0,2.19,0,1.09,2.19,1.09,369.38,5.46,1.09,43.71,2.19,0,0,3.28,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0.77,0,2.3,0,4.6,0.77,0,0,1.53,0,0,3.06,0.77,656.43,6.13,0.77,29.11,0,0.77,0,1.53,0,0,1.53,0,0,0.77,0,0.77,0.77
120,0,0,0,0,1.96,0,9.8,1.96,0,0,1.96,0,0,1.96,0,278.29,9.8,3.92,9.8,0,0,0,0,0,0,0,0,0,0,1.96,0,0
