stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,7.89,0,10.51,0,0,0,31.54,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,341.73,5.26,0,0,99.89,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,31.47,0,3.15,0,44.06,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,462.6,12.59,0,0,154.2,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,1,4,74,34,0,54,0,0,0,3,6,2,1,1,4,0,0,0,1,34,0,0,13,368,7,3,5,5,8,0,72,5,8,122,109,0,6,0,1
 24-34,0,0,0.82,4.1,19.7,17.24,0,62.39,1.64,0.82,1.64,5.75,1.64,0,0,1.64,8.21,0,2.46,2.46,5.75,35.3,0,0,13.13,407.14,4.1,0.82,4.93,0,4.93,0,0,3.28,2.46,13.13,87.01,0,9.03,0,0.82
 36-46,0,0,0,0,5.64,0,0,34.64,0.81,0,0,8.86,0,0.81,1.61,0,0.81,0,0,2.42,0,26.59,0,0,8.06,224.78,0,3.22,2.42,0,3.22,0,0,2.42,3.22,0,37.87,0.81,2.42,0,0
 48-58,0,0,0.57,0,2.87,0.57,0,86.07,1.72,0,0.57,16.64,0.57,0,0.57,1.72,0.57,2.3,0,0.57,0,29.26,0,0,10.33,185.34,0.57,1.15,1.72,0,2.3,0,0,0,1.15,0,33.85,0,1.72,0,2.87
 60-70,0,0,0.98,0,0.98,0.98,0,67.73,1.96,0,0.98,18.65,3.93,0,0,1.96,0,0,0.98,4.91,0,28.46,0,0,1.96,129.56,0,0,0.98,0,3.93,0,0,0,0.98,0,14.72,0.98,2.94,0,0
 72-82,0,0,0,0,9.82,0,0,64.79,1.96,0,2.94,14.72,4.91,0,0.98,1.96,1.96,0,0,3.93,0,48.1,0,1.96,7.85,160.01,0,0,2.94,0,8.83,0,0,0,0,0,9.82,1.96,3.93,0.98,0
 84-94,0,0,0,0,9.56,3.19,0,46.73,0,1.06,2.12,15.93,7.43,0,0,4.25,5.31,0,1.06,2.12,0,28.68,1.06,2.12,7.43,73.28,2.12,2.12,5.31,0,19.12,0,0,2.12,1.06,0,6.37,0,3.19,0,0
 96-106,0,0,0,0,7.65,1.09,1.09,40.44,2.19,0,0,14.21,3.28,0,0,3.28,1.09,0,1.09,5.46,0,24.04,0,1.09,3.28,62.29,0,1.09,3.28,0,17.49,0,0,0,0,0,7.65,2.19,7.65,1.09,0
108-118,0,0,0,0,14.55,2.3,3.83,31.4,2.3,1.53,1.53,18.38,3.06,0,0,3.06,3.06,0.77,1.53,4.6,0,22.98,0,0.77,10.72,85.79,0.77,2.3,2.3,0,15.32,0,0,1.53,0.77,0,2.3,0,1.53,0,0.77
120,0,0,1.96,0,17.64,5.88,1.96,17.64,0,3.92,1.96,5.88,5.88,0,0,1.96,1.96,1.96,0,3.92,0,37.24,1.96,1.96,15.68,45.08,0,0,5.88,0,23.52,0,0,0,3.92,0,1.96,0,3.92,0,0
