stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4,0,0,2,1,0,0,1,0,1,6,0,0,0,0,0
 24-34,0,1.64,3.28,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,3.28,0,0,0.82,3.28,0.82,0.82,0.82,0,0,0.82,0,0,0,2.46,0,0,1.64,0,0
 36-46,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,1.61,5.64,0,0.81,2.42,0,0,0.81,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,2.3,0,0,1.15,2.3,0,1.15,0,0.57,0,0,0,0.57,0,0,4.02,0,0,2.87,3.44,0,0,1.72,0,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,6.87,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0.98,5.89,0.98,0.98,0.98,8.83,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,3.93,0,0,0.98,2.94,0.98,5.89,0,0,0,0,0,0,0,0,5.89,0,0,4.91,6.87,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,5.31,0,0,2.12,3.19,2.12,1.06,1.06,1.06,0,1.06,1.06,1.06,0,2.12,10.62,1.06,0,5.31,7.43,0,1.06,3.19,0,2.12,5.31,0,0,0,1.06,0,0,0,2.12,0
 96-106,0,0,8.74,0,0,0,0,2.19,3.28,6.56,0,1.09,0,3.28,0,1.09,0,8.74,0,0,2.19,6.56,0,1.09,4.37,0,0,2.19,0,1.09,0,0,0,0,0,1.09,1.09
108-118,0,0,10.72,0,0.77,2.3,2.3,0.77,3.83,1.53,0,0.77,0,1.53,2.3,0.77,0,13.02,0,0.77,1.53,3.06,1.53,0,3.06,0,1.53,2.3,0.77,0.77,0,0,1.53,0.77,1.53,0,0
120,0,1.96,5.88,0,0,0,0,0,5.88,1.96,0,0,0,0,3.92,1.96,0,5.88,0,0,5.88,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
