stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,263.57,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,13.14,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,34.62,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,11,13,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,36,99,0,1,0,2,1,23,0,0,38,29,0,0,13,0,0
 24-34,0,0,2.46,0.82,1.64,1.64,0,6.57,0,0,0,0.82,0,0,0,30.37,0,0.82,0,0,0,27.09,0,0,22.98,164.17,0.82,7.39,0.82,0,5.75,0,0.82,0,2.46,38.58,0,0,18.06,0,0
 36-46,0,0,0,0,0.81,0,0,9.67,0,1.61,0,0.81,0,0,0.81,56.4,0,0,0.81,0.81,0.81,28.2,0,0,9.67,196.58,0.81,0.81,0,0,0,0,0.81,0.81,0,39.48,0,0,5.64,0,0
 48-58,0,0,0,0,0,1.15,0,25.82,0,0,0,3.44,0,0,0.57,63.12,0,0,1.15,0,0.57,18.36,0,0.57,4.59,191.08,0.57,0,0,0,2.3,0,0,0,0,20.66,0,0,1.72,0,0.57
 60-70,0,0,0,0,0,0,0.98,52.02,0,0,0.98,0.98,0.98,0,0,68.71,0,0,0,0,0,12.76,0,0,5.89,217.9,0,0,0,0,1.96,0,0,0,0,13.74,0,0,0.98,0,0.98
 72-82,0,0,2.94,0,0.98,0.98,7.85,92.28,0.98,0,1.96,6.87,0,0,0,106.02,0,1.96,1.96,0,0,21.6,0,0.98,3.93,222.84,0,0,0,0,1.96,0,0.98,0,0,9.82,0,0,2.94,0,0
 84-94,0,0,0,0,2.12,0,9.56,59.47,0,0,1.06,2.12,2.12,0,0,137,0,1.06,1.06,2.12,1.06,10.62,0,1.06,2.12,129.57,0,1.06,0,0,2.12,0,0,0,0,6.37,1.06,1.06,1.06,0,0
 96-106,0,0,0,0,6.56,4.37,17.49,59.01,0,0,0,12.02,6.56,0,1.09,158.46,1.09,0,1.09,1.09,0,15.3,3.28,1.09,1.09,115.84,0,0,1.09,0,6.56,0,0,0,0,3.28,2.19,1.09,2.19,3.28,1.09
108-118,0,0,0,0,3.83,2.3,29.87,42.13,0.77,2.3,0.77,3.06,0.77,0,0,143.24,0,0,0.77,1.53,0,12.26,0,0.77,6.89,134.81,0,0,0.77,0,3.83,0,0,0,0,0,0,0.77,2.3,0.77,0
120,0,0,0,0,7.84,1.96,5.88,23.52,1.96,0,0,5.88,0,0,0,162.66,0,1.96,1.96,1.96,0,7.84,0,0,1.96,97.99,0,0,0,0,7.84,0,0,0,0,1.96,0,0,3.92,0,1.96
