stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,2,24,1,0,1,0,0,3,2,0,7,4,7,0,0,0,0
 24-34,0,0,0.82,2.46,0,9.85,0,1.64,0.82,1.64,0,0,0,0,0,0,4.1,0,0,1.64,32.01,0.82,0.82,0.82,0,0,22.98,0,0,1.64,0,8.21,0,0,0,0
 36-46,0,0,0,0.81,0,13.7,0,1.61,0,0,0,0,1.61,0,0,0,6.45,0,1.61,4.03,26.59,0.81,1.61,0,0,0,33.84,0,0,2.42,0,3.22,0,0,0,0
 48-58,0,0,0,1.15,0,18.94,0.57,0.57,1.15,0.57,0,0,3.44,0,0,0,10.33,0,0,0.57,14.92,0,0.57,0.57,0,0,54.51,0,0,0,0,2.87,0,2.87,0,0.57
 60-70,0,0,0,2.94,0,20.61,0,0,0.98,5.89,0,0.98,0.98,0.98,0,0,30.43,0,0.98,5.89,18.65,0,0,0.98,0,0,103.06,0,0,1.96,0,0,0,0.98,0,0.98
 72-82,0,0.98,0,9.82,0,16.69,0,4.91,3.93,5.89,0,0,7.85,0,0,0,32.39,0.98,0,1.96,20.61,0,0.98,3.93,0,0.98,195.35,0,0,0,0,0.98,0,1.96,0,0.98
 84-94,0,1.06,0,15.93,0,9.56,0,13.81,5.31,3.19,1.06,0,8.5,0,1.06,0,15.93,4.25,0,1.06,14.87,0,3.19,2.12,0,0,600.05,0,0,0,0,1.06,1.06,2.12,0,1.06
 96-106,0,0,0,28.41,2.19,15.3,4.37,15.3,1.09,9.84,1.09,1.09,22.95,9.84,2.19,0,37.16,5.46,3.28,3.28,25.14,0,6.56,5.46,0,2.19,602.16,0,0,2.19,0,0,2.19,3.28,2.19,0
108-118,0,0,0,24.51,0,9.96,0,16.85,2.3,5.36,1.53,0,12.26,8.43,0.77,0.77,17.62,9.96,0.77,2.3,16.09,0,2.3,3.83,0,0,490.22,0,1.53,0.77,0,0.77,0,2.3,0,0.77
120,0,0,0,19.6,0,3.92,0,23.52,1.96,5.88,0,0,7.84,5.88,0,1.96,25.48,1.96,0,1.96,9.8,1.96,7.84,0,0,0,317.49,0,0,0,0,0,1.96,1.96,0,0
