stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,0,0,0,0,1,1,0,10,4,4,0,1,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,2.46,0,1.64,14.78,0.82,0,0,0,0,0,0,22.98,2.46,4.1,0,1.64,0,0
 36-46,0,0,0,10.47,0,0,0,0,0.81,0,0,0,0,2.42,0,0.81,14.5,0,0,0,0,0.81,0,0,34.64,0.81,6.45,0,0,0,0
 48-58,0,0,0,32.13,0.57,0.57,1.15,0,0,0,0,0,0,4.02,0,2.87,8.61,1.15,0,0,0,0,0.57,0,31.56,0,1.15,0,0,0,0
 60-70,0,0,0,40.24,4.91,0.98,3.93,0,0,0,0,0.98,0,2.94,0,2.94,21.59,0.98,0,0,0,0,0,0,19.63,0,3.93,0,0,0,0
 72-82,0,0.98,0.98,20.61,4.91,0,3.93,0,0,0,0,0,0,0.98,0,2.94,53.99,0,0,0.98,0,0,0,0.98,11.78,0,1.96,0,0,0,0.98
 84-94,0,0,0,20.18,16.99,0,3.19,1.06,0,2.12,0,1.06,0,0,0,2.12,18.05,1.06,1.06,0,0,0,0,1.06,28.68,0,2.12,0,0,0,0
 96-106,0,0,1.09,20.76,17.49,0,7.65,0,0,0,0,0,0,3.28,1.09,0,30.6,0,0,0,1.09,0,0,0,40.44,0,0,1.09,0,1.09,0
108-118,0.77,1.53,2.3,10.72,20.68,0,2.3,0,0,0,0.77,0,0.77,1.53,0,5.36,39.83,1.53,0,0,0.77,0,0,0.77,25.28,0,2.3,0.77,0,0,0.77
120,0,0,0,9.8,19.6,0,7.84,0,0,0,0,0,0,0,0,0,33.32,1.96,0,0,1.96,0,0,0,5.88,0,1.96,0,0,0,0
