stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,8,3,0,0,0,0,1,0,2,0,0,0,0,1,204,1,0,0,0,1,0,1,4
 24-34,0,0,3.28,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,247.08,0,0,0,0.82,0,0,0,3.28
 36-46,0,0.81,4.03,0,8.86,0,0,0,0,0,0.81,0,0.81,0,0,87.01,0,0,0,0.81,0,0.81,0,4.03
 48-58,0,1.15,1.72,0,3.44,0,0,0,0,0,0,0.57,0,0,0,18.94,0,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,7.85,0,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,2.94,0,0,0,0.98,0,0,0.98,0.98,0,0,5.89,0,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,2.12,0,0,0,0,0,1.06,1.06,0,0,0,4.25,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,3.28,1.09,0,0,0,0,0,0,0,0,0,2.19,0,0,1.09,0,0,0,0,0
108-118,0,0,1.53,0.77,0,0.77,0,0,0,0,0,0.77,0,0,0,3.83,0,0,0,0.77,0,0,0,0
120,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0
