stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,0,2,0,0,0,0,0,1,0,0,0,0,4,0,1,39,1,1,0,1,0,1,6,2,10,0,0,0,0
 24-34,0,1.64,0.82,18.06,0.82,0,0,2.46,0,0,0,0,0.82,0,10.67,0,7.39,110.82,0,1.64,0,0,0,0.82,0,1.64,26.27,0,4.1,0,0.82
 36-46,0,0,0.81,29,0,0,0.81,0.81,0,0,0,0.81,0,0,8.06,0,0,74.93,0,0,0,0,0,0.81,0,0,12.09,0,0.81,0,0
 48-58,0,1.15,0,35.58,0,1.15,0,3.44,0,0,0,0,0.57,0,6.31,0,2.3,67.71,0,0,0.57,0,0,1.15,0,0,12.05,0,0,0,0
 60-70,0.98,3.93,0,46.13,0,0,0,4.91,0,0,0,0,0,0,7.85,0,2.94,46.13,0.98,0,0,0,0.98,1.96,0,0,7.85,0,0,0,0
 72-82,0,3.93,0,22.58,0,0,0,5.89,0,0,0,0,0,0,18.65,1.96,2.94,44.17,0,0.98,0,0,0,0,0,0,2.94,0,0.98,0,0
 84-94,0,0,1.06,15.93,0,0,0,3.19,1.06,0,0,0,0,1.06,6.37,1.06,0,16.99,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,1.09,0,9.84,0,0,0,1.09,2.19,0,0,0,0,0,8.74,0,2.19,20.76,0,0,0,0,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0.77,0.77,4.6,0,0,0.77,2.3,0,0.77,0,0,0,0.77,3.06,0,0,9.96,0.77,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,3.92,0,0,0,5.88,7.84,0,3.92,0,0,0,11.76,0,0,13.72,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0
