stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,2,1,13,0,0,3
 24-34,0,0,0,8.21,0,0,0,1.64,0,0,0,3.28,0,0,3.28,0,12.31,0,0,0,1.64,0,4.93,0,0,0.82
 36-46,0,0,0,5.64,0,0,0.81,0,0,0,1.61,3.22,0,0,10.47,0,19.34,0,0,0,0,0,4.83,0,0,7.25
 48-58,0,0,0,1.72,0,0,0,0.57,0,0.57,1.72,4.02,0,0,13.77,0.57,12.05,0,0,0.57,1.15,0,5.74,0,0,6.31
 60-70,0,0,0,4.91,0,0,0,2.94,0,0,3.93,0,0,0,8.83,0,14.72,0,0,0.98,0,0,3.93,0,0,3.93
 72-82,0,0,0,17.67,0,0,0,13.74,0.98,1.96,1.96,1.96,0.98,0,27.49,0,22.58,1.96,0,9.82,0,0,3.93,0.98,0,3.93
 84-94,0,4.25,0,16.99,1.06,1.06,0,5.31,0,4.25,3.19,4.25,0,0,18.05,0,16.99,1.06,0,43.54,0,0,5.31,0,1.06,12.74
 96-106,0,5.46,1.09,30.6,0,1.09,0,18.58,0,7.65,10.93,3.28,1.09,2.19,27.32,0,31.69,0,0,61.2,0,0,2.19,0,1.09,10.93
108-118,0,6.13,0,19.92,0,1.53,0,11.49,1.53,4.6,14.55,10.72,2.3,2.3,22.21,0.77,22.21,0,0,22.98,0,0,1.53,0,0,19.92
120,0,5.88,0,15.68,0,0,0,3.92,0,9.8,1.96,3.92,0,0,25.48,0,5.88,0,0,33.32,0,0,0,0,0,7.84
