stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,113.03,0,0,0,34.17,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,25.18,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,47.2,0,0,0,37.76,0,0,0,0,0
 14-21,0,0,0,3,259,2,0,0,0,1,0,6,2,0,0,0,4,0,1,7,1,0,0,0,0,0,8,0,7,4,0,0,37
 24-34,0,0.82,0,0,43.51,1.64,0,0,0.82,0,0,8.21,0.82,0,0,0.82,4.93,0,1.64,33.66,0,0.82,0,0,1.64,0,0,0,0.82,3.28,0,0,82.09
 36-46,0,0,0,0.81,29,4.83,0,0,0,0,0,5.64,0.81,0,0,0,0.81,0.81,0,23.36,0.81,3.22,0,0,0.81,0,0,0,0,7.25,0,0,35.45
 48-58,0,0,0,0,106.73,9.75,0,0.57,1.15,0,0,5.16,1.72,0,0,0,4.02,0,1.15,33.28,0.57,2.3,0,0,0.57,0,0,0,0,9.18,0,0,24.1
 60-70,0,0,0,0,116.8,14.72,0,0,1.96,0,0,4.91,1.96,0.98,0.98,0,13.74,0,0.98,15.7,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0,9.82
 72-82,0,0,0,0,226.76,5.89,0,0,2.94,0.98,0,4.91,4.91,0,0,0,8.83,0,0,23.56,0,9.82,0,0,0,0,0,0,0,0.98,0.98,0.98,19.63
 84-94,0,0,0,0,185.86,7.43,0,0,0,0,0,3.19,8.5,0,1.06,0,2.12,0,1.06,5.31,0,3.19,0,0,0,0,0,0,0,1.06,0,0,23.36
 96-106,0,0,0,1.09,177.04,3.28,0,0,0,0,0,5.46,2.19,0,0,0,7.65,0,3.28,16.39,0,3.28,1.09,0,1.09,0,0,0,0,1.09,0,0,15.3
108-118,0,0,0,0,81.19,3.83,0.77,0,0,0.77,0,2.3,6.13,0,0,0,2.3,0,0,6.89,0.77,3.06,0,0,0,0,0,0,0,0,0,0,15.32
120,0,0,0,1.96,92.11,0,0,0,0,0,0,0,7.84,0,1.96,0,0,0,1.96,13.72,0,0,0,0,0,0,0,0,0,0,0,0,13.72
