stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,2,3,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0.82,0,2.46,1.64,9.85,0.82,0,0,0.82,3.28,0,0.82
 36-46,0,0,0,3.22,0,0,0.81,0,0,0,0.81,0.81,6.45,0,0,0,0,2.42,0,0
 48-58,0,0,0,2.87,0.57,0,1.72,0,0.57,0,0.57,0,1.72,0,0,0,0,1.72,0,0
 60-70,0,0,0,3.93,0,0,0,0,0,0,1.96,0.98,4.91,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,4.91,0.98,0,0.98,0,0,0,1.96,0,3.93,0.98,0,0,0,0,0,0
 84-94,0,0,0,4.25,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,5.46,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0.77,0,0,2.3,0.77,0,0,1.53,0,1.53,0,0,0,0,0,0,0.77
120,0,0,1.96,1.96,0,1.96,1.96,0,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0
