stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,1,2,0,11,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0.82,0,0,0,0,0.82,0,0,0.82,0,243.79,0,9.03,0,0,0,0.82,0,0,54.18,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,21.75,0,0.81,0,0,0,0,0,0.81,0.81,0,2.42,570.41,0,8.86,5.64,0,0,0,0,0,102.32,0,0,0.81,0,0.81
 48-58,0,0,3.44,0.57,127.38,0,7.46,0.57,0,0,0,0,1.15,5.16,0.57,0.57,827.43,0,11.48,1.72,0,0,0,0,0,130.83,0,0,1.15,0,0.57
 60-70,0,0,4.91,0,321.94,0,22.58,0,0,0.98,0.98,0,0,14.72,0,0.98,1139.55,0,17.67,0.98,0,0,0.98,0,0.98,166.86,0,0,0.98,0,0
 72-82,0,0,7.85,1.96,332.78,0,31.41,0.98,0,0,0,0,0,14.72,0.98,0,934.54,0,27.49,0.98,0,0,1.96,0,0,84.42,0.98,0.98,0.98,0,1.96
 84-94,0,0,5.31,1.06,178.42,1.06,30.8,0,0,0,1.06,0,0,13.81,2.12,3.19,421.63,1.06,20.18,6.37,0,0,1.06,0,0,45.67,1.06,0,1.06,0,0
 96-106,0,1.09,7.65,1.09,167.21,1.09,20.76,0,1.09,1.09,0,1.09,0,15.3,3.28,0,385.77,0,41.53,1.09,0,1.09,1.09,0,0,15.3,0,2.19,1.09,1.09,0
108-118,0,0,6.13,1.53,122.55,0,12.26,0.77,1.53,0,0,0,0,13.79,3.83,1.53,350.81,0,20.68,4.6,0,0,3.06,0,0,13.02,0,0.77,0,1.53,0.77
120,0,0,11.76,0,117.59,1.96,27.44,0,0,0,0,0,0,1.96,5.88,0,460.55,0,17.64,5.88,0,0,1.96,0,0,9.8,0,0,0,0,0
