stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,2.63,0,2.63,0
 10-12,0,0,6.29,0,0,15.73,0,0,0
 14-21,0,0,0,0,0,5,0,0,0
 24-34,0,0,0,0,0,4.1,0.82,0,4.1
 36-46,0,0,1.61,0,0,22.56,2.42,0,3.22
 48-58,0,0.57,4.59,1.15,0.57,26.4,1.15,0,4.02
 60-70,0,0,3.93,0,0,33.37,0,0,3.93
 72-82,0,0,4.91,0,0,18.65,0,0,1.96
 84-94,0,0,4.25,0,2.12,13.81,2.12,0,0
 96-106,0,0,1.09,1.09,0,2.19,0,0,0
108-118,0,0,0,2.3,0,8.43,0,0,0
120,0,1.96,3.92,0,0,7.84,0,0,0
