stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1,3,0,0,1,0,0,0,0,0,0,0,0,0,5,2,22,1,0,1,0,2,9,0,0
 24-34,0,0.82,0,0,3.28,0,0,0,2.46,0,0,0,0,0.82,4.1,0.82,63.21,1.64,0,0,0,0,22.98,0.82,0
 36-46,0,1.61,0,0,24.17,0,0,0,0.81,0,0,0,0,0,1.61,1.61,103.93,0.81,0,0,0,0,15.31,0,0
 48-58,0,0,0,0,39.59,0,0.57,0,5.16,0,0.57,0,0.57,0,4.02,0.57,113.61,0.57,0,0,0,0,20.08,0,0
 60-70,0,0,0,0,53.98,0.98,0,0,7.85,0,0,0.98,0,0,0,0,119.75,0.98,0.98,0,0.98,0,20.61,0,0
 72-82,0,0.98,0.98,0,20.61,0,0,0,2.94,0,0,0,0,0,0.98,0,66.75,0.98,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,22.3,0,0,0,1.06,1.06,0,0,0,0,6.37,0,22.3,0,0,0,1.06,0,5.31,1.06,1.06
 96-106,0,1.09,0,0,5.46,0,0,0,5.46,0,1.09,0,0,0,5.46,1.09,5.46,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0.77,3.06,0,0,0.77,2.3,0,0,0,0,0,3.06,0.77,30.64,0,0,0,1.53,0,0.77,0,0
120,0,0,0,0,9.8,0,0,0,0,0,1.96,0,0,0,0,0,15.68,0,0,0,0,0,0,0,1.96
