stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,118.6,2279.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0
  5-6,24.52,588.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,31.54,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,248.61,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,902,2,0,2,0,0,0,0,0,0,3,0,1,0,8,1,0,0,14,0,0,0,2,1,2,0,0,0
 24-34,0,0,0,366.92,0,0.82,41.04,0,0.82,0,0,0,0,0,0,0,0,8.21,1.64,0,5.75,14.78,0,1.64,0,1.64,0,1.64,0,0,0.82
 36-46,0,0,0,63.65,0,0.81,37.87,0.81,0,0,0,0,0,0,0,0,0.81,25.78,0.81,0,0.81,9.67,0,0,0,1.61,0.81,0.81,0,0,0
 48-58,0,0,0,49.92,0,2.87,38.44,0,0,0,0,0.57,0,0,0.57,0,0,47.63,0,0,1.72,4.59,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,22.58,0,3.93,24.54,0,0,0,0,0,0,0,2.94,0.98,0,58.89,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,16.69,0,3.93,24.54,0,2.94,1.96,0,0.98,0.98,0,5.89,0.98,0,82.46,0,0,0,9.82,0,0.98,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,32.92,0,2.12,39.3,0,0,0,0,0,0,0,3.19,0,0,59.47,1.06,0,0,1.06,0,1.06,0,1.06,0,2.12,1.06,0,0
 96-106,0,0,0,51.36,2.19,3.28,26.23,0,1.09,2.19,0,1.09,0,0,8.74,1.09,0,77.59,0,0,1.09,4.37,0,0,0,1.09,1.09,0,0,0,1.09
108-118,0,0,0,55.92,0,1.53,55.92,1.53,0.77,2.3,0,0.77,0,0,3.83,2.3,1.53,66.64,0,0.77,0,3.83,0,0,0,0.77,0.77,0,0,0,0
120,0,0,0,62.71,0,0,29.4,0,0,5.88,0,1.96,0,0,3.92,1.96,0,62.71,0,0,0,5.88,1.96,0,0,1.96,0,0,1.96,0,0
