stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,visceral.smooth.muscle
 14-21,1,0,0,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,2.46,1.64,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0
 36-46,0.81,0,0,5.64,0,0,0,0,2.42,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,17.21,0,0,0,0,1.72,0.57,0,0,0,0.57,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,98.15,0,0.98,0,0,1.96,0.98,0,0,0,6.87,0,0,0,0,0,0,0,0
 72-82,0,0,0,213.02,0,3.93,0,0,0.98,0.98,0,0,0,8.83,0,0.98,0,0,0,0,1.96,0.98
 84-94,2.12,0,0,198.6,0,5.31,1.06,0,0,4.25,0,1.06,0,8.5,0,0,0,0,0,2.12,1.06,1.06
 96-106,5.46,1.09,1.09,196.71,0,4.37,0,0,3.28,4.37,0,0,0,10.93,0,0,1.09,1.09,0,0,2.19,0
108-118,0.77,0,0,167.75,0.77,3.83,0,0.77,0.77,1.53,0.77,0.77,0.77,3.06,0.77,0,0,0,0.77,0,0,0
120,0,0,0,135.23,0,0,0,1.96,0,5.88,0,0,1.96,7.84,0,0,0,0,0,0,0,0
