stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15,0,0,4,23,0,0,3,1,0,4,0,0,0,2,8,0,1,0,0
 24-34,0,16.42,0,0,4.93,0,0.82,0.82,2.46,0,0.82,0,0,0,3.28,0.82,149.4,0,0.82,53.36,64.85,5.75,2.46,5.75,0,0,12.31,0,0.82,0.82,0.82,13.95,0,9.85,0,0
 36-46,0,10.47,0.81,0,7.25,0,0,5.64,1.61,0,5.64,0.81,0,1.61,0,0,369.8,0.81,7.25,115.21,53.98,3.22,0.81,6.45,0,1.61,6.45,0.81,0,0.81,0,12.09,1.61,10.47,0,0
 48-58,0,6.31,0,0,18.94,0,0.57,5.74,3.44,0,5.74,0,0,0.57,0.57,0.57,587,0.57,20.66,99.84,53.36,4.02,0.57,6.89,0,2.3,3.44,0,0,0,0,9.75,2.3,12.05,1.15,0
 60-70,0,7.85,0,0,31.41,0.98,1.96,7.85,1.96,0,5.89,0.98,0,0,1.96,0.98,915.76,0.98,24.54,79.5,54.97,5.89,0.98,2.94,0,3.93,0.98,0,0,0,0,5.89,23.56,5.89,6.87,1.96
 72-82,0,5.89,0.98,0,45.16,0,0.98,14.72,6.87,0.98,9.82,0,0,0,3.93,0.98,1067.07,0,23.56,96.2,48.1,0.98,0,5.89,0,9.82,0,0,0,0,0,0.98,38.28,18.65,33.38,0.98
 84-94,0,9.56,0,0,60.54,0,0,10.62,3.19,0,8.5,3.19,0,0,0,0,730.68,0,45.67,55.23,22.3,6.37,0,6.37,0,3.19,1.06,0,0,0,0,2.12,32.92,19.12,29.74,0
 96-106,0,5.46,2.19,1.09,28.41,0,2.19,8.74,7.65,2.19,9.84,0,0,0,3.28,0,660.08,1.09,22.95,42.62,36.06,2.19,2.19,5.46,0,13.11,1.09,0,0,1.09,0,1.09,17.49,15.3,24.04,0
108-118,0,5.36,2.3,0,15.32,0,2.3,9.19,3.06,0,5.36,0,0.77,0,1.53,2.3,474.13,0,13.79,33.7,32.94,0.77,0.77,2.3,0,16.85,1.53,0,0,1.53,0,0,14.55,15.32,16.85,0
120,0,13.72,1.96,0,17.64,0,0,1.96,3.92,1.96,0,1.96,0,0,0,5.88,393.92,1.96,11.76,27.44,21.56,3.92,0,1.96,0,15.68,0,0,0,0,0,1.96,7.84,9.8,11.76,0
