stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,15.73,12.59,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,7,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,2,16,19,1,0,3,0,57,0,1,0,4,7,0,0,0
 24-34,0,0,0,6.57,0.82,0,4.1,0,0,2.46,0.82,0,0,0,0,0,7.39,0,0.82,1.64,0.82,0,2.46,19.7,11.49,5.75,0,0,0,140.37,0,0,0,2.46,6.57,0,0,0
 36-46,0,0,0,12.89,0,0,1.61,0,0,0.81,0.81,0,0,0,0,0,7.25,1.61,0,5.64,3.22,0,0.81,17.72,4.83,1.61,1.61,0,0,211.89,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,8.61,0,0,6.89,0,1.72,5.16,0.57,0,0,0.57,1.15,0,4.59,0,0,7.46,0,0,2.3,14.92,1.72,0.57,0,0,0,169.27,0,0,0,0,5.16,0,0,0
 60-70,0,0,0,23.56,0.98,0,9.82,0,0,4.91,1.96,3.93,0,0,0.98,0,6.87,0,0,11.78,0.98,0,0.98,19.63,1.96,1.96,0,0,0,97.17,0,0,0,0,5.89,0.98,0,0
 72-82,0,0,0,22.58,0,0,7.85,0,0,1.96,4.91,23.56,0.98,0.98,2.94,0,10.8,2.94,0,13.74,2.94,0,1.96,37.3,0.98,3.93,0,0,0.98,37.3,0,0,0,0,5.89,12.76,0.98,0.98
 84-94,0,0,0,64.78,1.06,0,16.99,0,7.43,1.06,0,84.96,0,0,2.12,0,3.19,3.19,0,11.68,7.43,0,1.06,31.86,3.19,5.31,0,0,0,144.44,0,0,0,0,2.12,66.91,0,1.06
 96-106,0,2.19,0,100.54,3.28,0,6.56,0,10.93,1.09,5.46,122.4,0,0,17.49,0,14.21,0,1.09,9.84,8.74,1.09,3.28,28.41,0,8.74,0,0,0,181.41,0,0,0,0,2.19,121.31,0,1.09
108-118,0,0,0,166.98,1.53,2.3,7.66,0.77,22.21,3.83,0,159.32,0,0.77,22.21,0.77,6.13,9.19,0,8.43,9.96,0.77,1.53,35.23,1.53,4.6,2.3,0,0,260.43,0,0,1.53,0,0,143.24,0,0
120,0,0,0,64.67,0,1.96,0,0,17.64,0,0,64.67,0,1.96,7.84,0,3.92,0,0,3.92,3.92,0,0,23.52,0,3.92,0,0,0,121.51,0,0,0,0,0,48.99,0,1.96
