stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,18.88,0,0,0,66.09,0,0,3.15,0,15.73,0,18.88,0,0,0,0,0,0
 14-21,0,11,0,31,1,2,0,2,0,1,1,3,1,4,0,0,0,0,0,0,6,17,0,1,0,0,0,1,0,51,1,3,97,6,0,0,0,0,0
 24-34,0,4.1,0,82.91,0,2.46,0,4.93,0.82,0,0.82,0,1.64,0,0,0.82,0,3.28,0.82,0,0.82,51.71,0,2.46,0,0,0,10.67,0,0,0,0,7.39,7.39,0,0,0,0,0.82
 36-46,0,2.42,0.81,34.64,0,9.67,0,2.42,0,0.81,0,0,1.61,1.61,0,0,1.61,4.83,0,0,0.81,73.32,0,0.81,0,0,0,4.83,0,0,0,0,0,8.86,0,0,0,0,0.81
 48-58,0,1.15,0,16.07,0,11.48,0,5.16,0.57,1.15,0.57,0,1.72,0,0,0,1.15,4.59,0,0,0,48.77,0.57,1.15,0,0,0,1.15,0,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,0.98,0.98,33.37,0,13.74,0,7.85,0.98,0.98,1.96,0.98,3.93,0,0,0,1.96,16.69,0.98,0.98,0,47.11,0,2.94,0.98,0,0,2.94,0,0,0,0,0,5.89,0,0,0,0,0.98
 72-82,0,0.98,0,31.41,0.98,31.41,0,5.89,0,2.94,0.98,0,9.82,0.98,0,0.98,0.98,23.56,4.91,2.94,0,76.57,0,3.93,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0.98,0,0,1.96
 84-94,0,0,0,65.85,1.06,9.56,1.06,12.74,2.12,4.25,4.25,0,7.43,1.06,1.06,3.19,2.12,9.56,1.06,1.06,3.19,27.61,0,0,0,0,1.06,7.43,0,0,0,0,0,1.06,5.31,0,0,3.19,1.06
 96-106,0,3.28,0,45.9,1.09,17.49,1.09,14.21,1.09,3.28,7.65,0,9.84,2.19,0,1.09,0,19.67,3.28,0,1.09,39.34,0,1.09,1.09,0,1.09,2.19,0,0,0,0,0,1.09,3.28,1.09,1.09,1.09,1.09
108-118,0,0,0.77,58.98,0,10.72,0,19.15,0.77,0,4.6,0,10.72,2.3,3.06,0.77,1.53,16.09,2.3,1.53,3.83,25.28,0,3.06,0,0,0,5.36,0,0,0.77,0,0,1.53,6.89,0,0,0.77,3.06
120,0,1.96,0,62.71,0,5.88,1.96,9.8,0,0,9.8,0,9.8,0,0,5.88,1.96,9.8,3.92,1.96,0,37.24,1.96,3.92,0,0,0,3.92,0,0,7.84,0,0,0,5.88,3.92,0,1.96,0
