stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,15.77,0,0,0,15.77,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,34.62,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,188.82,3.15,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,5,5,13,0,23,0,0,0,0,0,16,1,0,0,0,0,2,0,12,0,4,61,0,1,9,0,0,3,3,0,1,1,11,0,8,0,0
 24-34,0,0,0,0,2.46,0,0,27.09,0,0,0,0,0,0,1.64,0,0.82,0,0,0.82,0,23.8,0,7.39,120.67,0,1.64,0.82,0,0,0.82,0,0,0,0,37.76,0,58.28,0,0
 36-46,0,0,0,0,1.61,0,0,18.53,0,0,0,1.61,0,0,1.61,0,0.81,0,0,0,0,9.67,0,8.06,224.78,0,3.22,0,0,0,2.42,0,0,0,0,68.48,0,28.2,0,0
 48-58,0,0,0,0,1.15,0,0,30.99,0,0,2.3,2.87,0,0,4.02,0,0.57,0.57,0.57,0,0,10.33,0.57,5.16,384.45,0,2.87,0,0,0,0.57,0,0,0,0,53.94,0,28.69,0,0
 60-70,0,0,0,0,3.93,0,0,207.1,0,0,0,9.82,0.98,0,1.96,0,0,0.98,0,0,0,19.63,0,1.96,880.43,0.98,0.98,0,0,0.98,3.93,0,0.98,0,0,79.5,0,17.67,0,0.98
 72-82,0,0,1.96,0,4.91,0.98,4.91,306.28,0,0,0.98,13.74,1.96,0,1.96,0.98,0,0,0,0.98,0,39.27,0.98,8.83,741.15,0.98,7.85,0,0,0,2.94,0,0.98,0,0,46.14,0.98,39.27,0.98,1.96
 84-94,0,0,1.06,0,11.68,0,3.19,160.37,1.06,1.06,3.19,26.55,4.25,0,3.19,1.06,0,2.12,0,2.12,1.06,29.74,1.06,1.06,340.91,0,1.06,0,0,0,3.19,0,0,0,0,36.11,2.12,35.05,1.06,0
 96-106,0,0,0,0,4.37,3.28,9.84,122.4,0,0,2.19,16.39,1.09,0,9.84,1.09,0,0,0,0,1.09,20.76,3.28,2.19,335.5,1.09,2.19,3.28,0,0,5.46,0,0,0,0,15.3,0,48.09,4.37,1.09
108-118,0,0,0,0,6.89,2.3,19.15,98.81,0,0,0,8.43,2.3,0,2.3,1.53,0.77,0,0,1.53,0,15.32,1.53,3.06,386.05,0,3.06,0,0,0.77,0,0,0,0,0,9.96,0.77,30.64,0,0
120,0,0,0,0,13.72,1.96,11.76,82.31,0,0,0,13.72,3.92,0,3.92,0,0,0,0,1.96,0,13.72,3.92,1.96,484.07,0,1.96,0,0,0,3.92,0,0,0,0,7.84,0,33.32,3.92,0
