stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,iridophores,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,30.37,0,0,0,0,0,12.31,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,99.1,0,0,0,0,1.61,26.59,0
 48-58,0,0,0.57,0,9.18,0,0,0.57,0,0,0.57,0,0,133.12,0.57,0,0,0,1.15,24.1,0
 60-70,0,0,0,0,54.97,0,0,4.91,0,0,0,0,0,282.68,0,0,0,0,0,44.17,0
 72-82,0,0,1.96,0,81.48,0,0.98,1.96,0,0,0,0.98,0,255.23,0,0,0,0,0.98,10.8,0.98
 84-94,0,0,1.06,0,43.54,0,0,6.37,0,1.06,0,1.06,1.06,128.51,1.06,0,0,0,1.06,14.87,0
 96-106,0,0,0,0,50.27,1.09,0,2.19,0,0,0,2.19,0,110.38,0,1.09,0,0,0,3.28,0
108-118,0,0,0,0,30.64,0,0,2.3,0,0,0,1.53,0,106.47,0,0,0,0.77,0,0.77,0.77
120,0,0,0,1.96,15.68,0,0,1.96,0,0,0,3.92,0,113.67,0,0,0,1.96,0,1.96,0
