stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,4.93,0,0.82,2.46,0,0,0,0,0,0,3.28,153.5,0,0.82,4.1,0,0,9.85,0.82,0,13.13,0,0,0,0,0
 36-46,0,0,0,1.61,0,12.09,0,0,57.2,0,0.81,0,0,16.11,0,3.22,476.96,0,1.61,4.03,0,0,6.45,1.61,0,110.38,0,0,0,0,0
 48-58,0,0,0,1.15,0,32.13,0,0,173.86,0,0.57,0.57,0,48.2,0.57,3.44,279.44,0,0.57,9.18,0,0,4.02,0,0,153.21,0,0,1.15,0,0
 60-70,0,0,0,0,0,30.43,0,0,161.95,0,0.98,0,0,43.19,0,1.96,84.41,0,0.98,14.72,0,2.94,1.96,0.98,0,69.69,0,0,0.98,0.98,0.98
 72-82,0,0,0,0.98,0.98,23.56,0,2.94,145.29,0.98,0,0,0,81.48,0.98,5.89,66.75,0,1.96,19.63,0,2.94,2.94,0,0,16.69,0,0.98,0,0,0
 84-94,0,0,0,3.19,0,35.05,0,0,64.78,0,0,0,1.06,41.42,2.12,2.12,30.8,1.06,0,21.24,0,0,1.06,0,0,13.81,1.06,1.06,1.06,0,0
 96-106,0,2.19,0,1.09,0,24.04,0,3.28,52.46,0,0,0,0,57.92,0,4.37,33.88,0,2.19,39.34,0,2.19,0,0,0,3.28,0,0,0,1.09,0
108-118,0,0,0,1.53,0.77,35.23,0,0.77,36,0,0,0,0.77,52.85,0,5.36,23.74,0,0,31.4,0,4.6,0.77,0,0,1.53,0.77,0,0,0,0
120,0,0,0,3.92,0,21.56,1.96,0,64.67,0,0,3.92,0,60.75,1.96,7.84,39.2,1.96,0,25.48,0,1.96,0,0,0,1.96,0,1.96,0,0,0
