stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 24-34,0,0,0,0,0.82,0,0,5.75,0,0,0
 36-46,0,0,0.81,0,0,0,0,14.5,0,0,1.61
 48-58,0,0,0.57,0,0.57,0,0.57,14.92,0,0.57,1.15
 60-70,0,0,3.93,0.98,0,0,0,34.35,0,0,1.96
 72-82,0.98,0,8.83,0,0,0.98,1.96,36.32,0,0,1.96
 84-94,0,0,5.31,0,0,0,1.06,18.05,0,0,0
 96-106,0,0,3.28,0,0,0,2.19,9.84,0,0,0
108-118,0,0.77,2.3,0,0,0,0,16.85,0,0,1.53
120,0,0,1.96,0,0,0,1.96,27.44,0,0,0
