stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,52.71,316.27,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,5.26,0,2.63,2.63,0,0,55.2,0,21.03,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0
 24-34,0,0,1.64,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,4.83,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96
