stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,9,0,4,0,0,0,2,1,0,0,1,0,0,0,0,8,0,0,2,62,2,1,0,2,0,1,6,0,5,21,0,0,1,0,0
 24-34,0,0,6.57,0.82,12.31,0,1.64,0,5.75,0,0.82,0.82,0,0,0,0,0.82,13.13,0,0,8.21,203.57,0.82,0,1.64,0,0,1.64,0,0,2.46,41.86,0,0,2.46,0,0
 36-46,0,0,1.61,0,49.95,0,0,1.61,17.72,0.81,0.81,0,0,0,0,0,0,23.36,0,0.81,7.25,243.31,0,0.81,2.42,0,0,1.61,0,0,0,63.65,0,0,4.03,0,1.61
 48-58,0.57,0,2.3,0,78.04,0,0,2.3,12.62,0,0.57,0,0,0,0.57,0.57,1.15,25.25,0,2.87,5.16,199.68,0,0.57,0.57,0,0,0.57,0,0,0,41.31,0,0,2.3,0,1.72
 60-70,0,0,0,0,149.19,1.96,1.96,0,34.35,0.98,0,0,0,0,0,0,0,49.08,0,0,4.91,222.81,0.98,0.98,1.96,0,0,1.96,0,1.96,0,28.46,0,0.98,1.96,0,3.93
 72-82,0,0,2.94,6.87,141.36,0,0.98,1.96,33.38,0.98,0,0.98,0,0.98,0.98,0,0,57.92,0,3.93,5.89,187.5,0,0.98,6.87,0,0.98,0.98,0,0,0,19.63,0,0,4.91,0.98,0
 84-94,1.06,0,3.19,4.25,106.2,0,2.12,0,25.49,2.12,1.06,2.12,0,1.06,1.06,0,0,33.99,0,0,3.19,100.89,1.06,3.19,0,0,0,9.56,0,0,0,8.5,2.12,4.25,4.25,0,0
 96-106,0,0,2.19,5.46,77.59,1.09,1.09,0,16.39,1.09,1.09,2.19,0,0,2.19,1.09,0,53.55,2.19,2.19,2.19,99.45,0,4.37,3.28,0,0,3.28,0,0,0,3.28,0,2.19,3.28,3.28,1.09
108-118,0,0,8.43,3.83,72.77,0,2.3,0.77,23.74,2.3,0.77,0.77,0,1.53,0,0,0,26.81,0.77,0,3.06,127.15,1.53,0.77,6.89,0,0.77,2.3,0,0,0,4.6,0,0,3.83,0.77,0
120,0,0,5.88,3.92,29.4,0,0,1.96,15.68,0,0,0,1.96,1.96,0,0,0,15.68,0,1.96,0,135.23,0,1.96,0,0,1.96,1.96,0,0,0,5.88,0,0,3.92,0,0
