stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,9,7,0,54,0,0,0,7,0,0,2,0,1,0,0,0,0,12,0,5,239,3,4,1,1,0,0,1,9,0,2,29,63,0,0,6,0,0
 24-34,0.82,0,0.82,2.46,7.39,0.82,0,172.38,0,0.82,0,21.34,0,0,6.57,0,0.82,0.82,0,1.64,0.82,31.19,0.82,13.13,823.32,4.93,6.57,4.93,0,0,1.64,0,0,0.82,0,25.45,182.23,0,0,27.09,0,0
 36-46,0,0,0,0,4.83,0.81,0,469.71,0.81,0.81,0.81,118.43,0,0,4.83,0,0,0,0,0,0,24.98,1.61,12.09,1395.42,2.42,8.06,0.81,0,0.81,0.81,0,0,0,1.61,1.61,303.74,0,0,34.64,0,0
 48-58,0,0,0,0,5.74,1.72,0,718.4,0.57,1.15,1.72,297.23,0,0,5.16,1.72,0.57,1.15,0,0,0,56.23,0.57,10.9,1395.49,1.72,2.87,4.59,0.57,0,1.15,0,0,0,0.57,0,328.79,0,0.57,26.4,0,1.72
 60-70,0,0,0,0,8.83,0,0,975.63,4.91,0.98,0.98,404.39,0,0,1.96,0.98,0,0,0.98,0.98,0.98,67.73,0.98,13.74,1349.59,0,2.94,8.83,0,0,2.94,0,0,0.98,0,0,213.97,0,0.98,27.48,0,0.98
 72-82,0,0,0,0.98,12.76,1.96,0,822.63,6.87,1.96,2.94,538.93,0,0,5.89,0,0,0.98,2.94,0.98,0.98,69.7,2.94,11.78,1156.4,0,3.93,9.82,0,0,2.94,0,0,0,0,0,106.02,2.94,2.94,56.94,1.96,0.98
 84-94,0,0,1.06,0,20.18,0,0,492.79,4.25,1.06,0,317.55,2.12,0,4.25,1.06,1.06,3.19,2.12,1.06,0,33.99,2.12,11.68,524.65,0,6.37,14.87,0,0,3.19,0,0,0,1.06,0,66.91,2.12,1.06,43.54,3.19,4.25
 96-106,1.09,0,0,0,21.86,1.09,0,342.06,2.19,2.19,2.19,327.85,0,0,5.46,4.37,2.19,1.09,5.46,2.19,0,37.16,3.28,4.37,448.07,0,3.28,14.21,0,0,5.46,0,0,1.09,1.09,0,38.25,3.28,3.28,65.57,1.09,1.09
108-118,0,0,0.77,0,13.79,2.3,0,302.56,3.06,0,0.77,283.41,3.83,0,0.77,3.83,1.53,2.3,3.06,2.3,0,32.17,1.53,8.43,477.19,1.53,4.6,6.89,0,0,3.06,0,0,0.77,0,0,16.09,2.3,0.77,45.96,0.77,0.77
120,0,0,1.96,0,23.52,1.96,1.96,405.68,3.92,3.92,0,411.55,5.88,0,0,5.88,0,1.96,5.88,0,0,33.32,0,11.76,631.05,0,5.88,1.96,0,0,1.96,0,0,0,0,0,31.36,3.92,1.96,68.59,0,5.88
