stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,9,38,6,10,0,0,0,3,2,2,0,6,11,0,0,0,0,7,0,0,3,136,4,4,3,2,0,27,16,3,1,10,12,72,0,0,0,0,0
 24-34,4.1,1.64,11.49,2.46,14.78,0,0,1.64,1.64,3.28,0,0.82,9.03,7.39,0,0.82,0.82,0,11.49,12.31,0,6.57,451.47,0.82,27.09,5.75,0,0,21.34,2.46,0,0.82,0,0,143.65,0,0,0.82,0,0
 36-46,3.22,0,4.83,0,38.67,0,0,0,5.64,0,0.81,1.61,2.42,2.42,0,0,0,0.81,12.89,22.56,0.81,6.45,1016.75,0.81,34.64,4.83,0,0,60.43,4.83,0,0,0,0,237.67,0,0,1.61,0,0
 48-58,1.15,0,6.31,0,124.52,1.15,2.3,1.72,11.48,1.15,0.57,1.15,2.3,4.02,0,2.87,0,0.57,26.4,21.23,0,7.46,1131.54,0,27.54,6.89,0,0,165.26,0,0,0,0,0,172.14,0,0,0.57,0,0
 60-70,4.91,0,17.67,0.98,334.7,1.96,8.83,4.91,25.52,3.93,1.96,1.96,1.96,9.82,0,7.85,0,0,38.28,27.48,0.98,4.91,2165.24,0,24.54,7.85,0,0,540.82,0.98,0,0,0,0,241.45,2.94,0.98,0,1.96,1.96
 72-82,7.85,0,48.1,4.91,326.89,1.96,10.8,3.93,50.06,15.71,0.98,0,6.87,15.71,0,28.47,1.96,0,70.68,45.16,2.94,11.78,2092.9,0.98,48.1,21.6,0,0,762.75,0.98,0,0,0,0,119.76,14.72,3.93,4.91,1.96,0.98
 84-94,9.56,1.06,55.23,1.06,221.97,0,28.68,1.06,30.8,19.12,0,1.06,8.5,32.92,2.12,29.74,1.06,0,42.48,61.6,4.25,7.43,1002.56,0,54.16,12.74,0,1.06,1796.97,0,0,0,0,0,88.15,22.3,3.19,2.12,4.25,0
 96-106,14.21,0,133.33,6.56,207.64,3.28,34.97,7.65,40.44,39.34,0,1.09,7.65,42.62,0,60.11,3.28,0,50.27,72.13,0,4.37,961.71,2.19,112.56,16.39,0,1.09,1967.12,1.09,0,0,0,0,36.06,37.16,2.19,3.28,2.19,1.09
108-118,5.36,0.77,121.02,1.53,141.7,2.3,52.85,1.53,29.11,28.34,0,0,6.89,39.06,0,43.66,0,0,32.94,54.38,1.53,3.83,1092.26,2.3,72,22.98,0,0.77,1632.27,0.77,0,1.53,0.77,0,36,41.36,0,1.53,0.77,0.77
120,3.92,0,101.91,1.96,92.11,3.92,31.36,5.88,43.12,19.6,1.96,1.96,13.72,25.48,0,13.72,0,0,23.52,17.64,3.92,5.88,1052.4,0,39.2,13.72,0,0,756.48,0,0,0,0,0,37.24,15.68,0,1.96,0,0
