stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,4,0,0,0
 24-34,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.77,4.93,0,0,0.82,0,4.1,23.8,0,0,0
 36-46,0,0,4.03,0.81,0,3.22,0,0.81,0,0,0,0,0,0.81,1.61,0,0,0,150.66,1.61,0,0,0,0,4.03,19.34,0,0,0
 48-58,0,0,2.3,0,0,20.08,0,5.16,0,0,0.57,0,0,0,2.3,0,0,1.15,152.06,4.59,1.15,0,0,0,1.72,21.23,0,0,0
 60-70,0,0,1.96,0.98,0.98,64.78,0,3.93,0,0,0,0,0.98,0,0.98,0,0.98,0,243.42,4.91,0.98,0.98,0,0,5.89,28.46,0,0,1.96
 72-82,0,0,11.78,0.98,0,89.33,0,10.8,1.96,0,0,0,0,0.98,7.85,0,0,0,267.99,9.82,0.98,0,0.98,0,2.94,28.47,0,0,0.98
 84-94,0,0,9.56,2.12,0,45.67,1.06,4.25,3.19,1.06,0,1.06,0,1.06,3.19,0,1.06,0,144.44,3.19,2.12,0,2.12,1.06,4.25,15.93,1.06,1.06,0
 96-106,0,0,5.46,3.28,0,48.09,0,2.19,0,0,0,1.09,1.09,3.28,3.28,1.09,0,0,136.61,7.65,3.28,1.09,2.19,0,5.46,6.56,0,0,0
108-118,0,0,12.26,3.83,0.77,46.72,0,9.19,1.53,0,0,0.77,0,1.53,3.06,0,0,0,139.41,5.36,3.06,1.53,0,0,9.19,3.83,0.77,0,1.53
120,0,0,7.84,1.96,0,31.36,1.96,9.8,0,0,0,0,0,3.92,5.88,0,0,1.96,148.94,1.96,3.92,0,0,0,3.92,5.88,0,0,0
