stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1805.38,29518.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212.37,0,0,0,0,0,0,0,0,0,0,0
  5-6,2470.24,29986.18,0,36.78,0,0,0,0,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0,0,643.61,67.43,0,0,257.44,0,686.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,460.02,481.05,0,807.01,0,5.26,0,1819.07,0,0,0,0,0,570.43,0,0,0,0,0,0,0,0,0,0,0,15214.99,570.43,0,0,5438.81,0,47.32,89.38,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,418.55,0,528.69,0,72.38,0,1236.76,0,0,0,0,0,160.5,0,0,0,0,0,6.29,0,0,0,0,3.15,10262.27,333.58,0,0,3971.48,0,18.88,44.06,37.76,459.46,0,44.06,6.29,0,0,0,0,0
 14-21,0,2,0,50,656,181,0,500,0,1,0,56,27,6,5,3,13,1,4,2,12,226,1,0,235,3528,40,10,47,116,0,41,6,663,42,13,869,974,0,0,9,0,2
 24-34,0,0,4.1,21.34,208.5,26.27,0,765.04,0.82,5.75,5.75,63.21,10.67,1.64,4.93,13.13,16.42,5.75,17.24,14.78,11.49,462.96,4.93,1.64,172.38,4030.4,25.45,31.19,67.31,0.82,0,100.14,0,1.64,15.6,2.46,166.63,846.3,0,0,59.92,0,16.42
 36-46,0,0,0.81,3.22,96.68,4.83,0,945.86,0,8.06,12.09,131.32,11.28,0,2.42,16.92,5.64,6.45,13.7,10.47,4.83,412.5,4.03,4.83,103.93,3038.98,9.67,19.34,29.81,0,0,82.18,0.81,1.61,5.64,2.42,1.61,738.8,0,0,41.89,0,4.03
 48-58,0.57,0,0.57,0.57,68.28,5.74,0,1183.19,3.44,9.75,16.07,219.77,17.21,2.3,5.74,11.48,6.31,13.2,11.48,9.18,4.02,497.49,5.16,23.53,114.19,1967.58,6.89,13.77,26.97,0,1.15,44.76,1.15,0,4.59,4.02,0,414.86,0,1.15,32.13,0,7.46
 60-70,0.98,0,0,0,79.5,16.69,0,1103.23,8.83,20.61,11.78,236.55,14.72,0.98,8.83,17.67,10.8,4.91,7.85,11.78,2.94,472.11,4.91,21.59,92.26,1519.4,6.87,9.82,18.65,0,1.96,55.95,0,0.98,5.89,0.98,0,170.78,2.94,6.87,34.35,1.96,8.83
 72-82,0,0,3.93,1.96,84.42,35.34,0,818.71,2.94,6.87,26.5,227.75,45.16,0,9.82,32.39,15.71,9.82,12.76,7.85,2.94,550.71,11.78,25.52,102.09,1189.77,5.89,22.58,23.56,0,2.94,71.66,0.98,0,0.98,0.98,0,108.96,3.93,14.72,56.94,12.76,10.8
 84-94,0,0,8.5,1.06,132.75,46.73,3.19,560.76,3.19,12.74,29.74,129.57,65.85,1.06,7.43,53.1,23.36,12.74,18.05,13.81,3.19,391.89,3.19,21.24,83.9,654.22,9.56,13.81,31.86,0,4.25,232.59,1.06,0,7.43,0,0,59.47,13.81,15.93,57.35,8.5,11.68
 96-106,1.09,0,3.28,0,161.74,50.27,1.09,378.12,5.46,6.56,10.93,134.42,29.51,0,10.93,62.29,16.39,14.21,10.93,10.93,3.28,327.85,6.56,10.93,93.98,532.22,5.46,24.04,33.88,0,4.37,174.86,1.09,0,3.28,1.09,0,33.88,9.84,5.46,61.2,9.84,9.84
108-118,0,0,1.53,1.53,151.66,49.02,5.36,329.36,1.53,27.57,19.15,116.43,32.17,0,5.36,48.26,16.85,12.26,9.96,11.49,0.77,264.26,5.36,13.79,74.3,618.13,11.49,13.79,22.21,0,2.3,134.81,1.53,0,9.19,0,0,17.62,6.89,3.06,46.72,9.19,10.72
120,1.96,0,0,0,168.54,64.67,0,292.01,3.92,45.08,21.56,107.79,39.2,0,5.88,94.07,13.72,7.84,19.6,15.68,1.96,246.93,1.96,11.76,84.27,597.73,19.6,25.48,17.64,0,3.92,166.58,0,0,7.84,1.96,0,9.8,7.84,7.84,74.47,15.68,1.96
