stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,20,1,0,21,0,0,0,0,0,0,0,0,3,0,0,52,8,0,0,3,117,9,0,0,0,0,0,3,0,1,37,0,0,0,0,63
 24-34,0,0,44.33,0,0,75.52,0.82,0,4.1,0.82,0,0,0,1.64,8.21,0.82,0.82,144.47,28.73,0,0,6.57,423.56,0.82,7.39,2.46,0,0,5.75,0.82,0,4.93,67.31,0,0,3.28,0,211.78
 36-46,0,0,8.06,0.81,0,74.12,1.61,0,12.09,0,0,0.81,0,0.81,10.47,0,0.81,145.02,38.67,0,0,3.22,574.44,1.61,2.42,0,0,0,6.45,0,1.61,0,74.93,0,0,0.81,0,193.36
 48-58,0.57,0,4.59,0,0,154.93,0.57,0,28.12,0,0,1.15,1.15,0,16.64,0,0,94.1,49.35,0.57,0,3.44,783.82,0.57,1.15,0.57,0,0,3.44,0,0.57,0,65.99,0,0.57,0.57,0,197.39
 60-70,0,0,6.87,0,0,358.26,0,0,86.37,0,0,0,0,0.98,21.59,0,0,54.97,41.22,0,0.98,2.94,1459.52,0,0,0,0,0,3.93,0,0.98,0,96.19,0,0,2.94,0,165.88
 72-82,0.98,0,14.72,9.82,0,547.77,2.94,0.98,121.73,0,0.98,2.94,0.98,0,16.69,0.98,0.98,47.12,89.33,0,1.96,7.85,1767.97,0,2.94,4.91,0,0.98,7.85,0,0,0,68.72,2.94,0.98,2.94,2.94,147.25
 84-94,0,0,24.43,2.12,0,387.64,2.12,2.12,81.78,1.06,0,1.06,2.12,1.06,42.48,0,2.12,72.22,48.85,0,2.12,2.12,1011.06,2.12,0,3.19,0,1.06,16.99,0,0,0,42.48,0,1.06,2.12,0,120.01
 96-106,0,0,25.14,5.46,1.09,368.29,1.09,1.09,79.78,2.19,0,1.09,1.09,0,33.88,1.09,5.46,51.36,53.55,2.19,1.09,5.46,875.37,2.19,1.09,1.09,0,1.09,9.84,0,0,0,26.23,1.09,0,1.09,2.19,115.84
108-118,0,0.77,21.45,4.6,0,310.22,2.3,2.3,66.64,2.3,0,0.77,2.3,0.77,36,0,1.53,65.11,43.66,0.77,0,3.06,1108.35,0,1.53,2.3,0,0.77,13.02,0,0,0,15.32,2.3,1.53,1.53,1.53,130.98
120,0,0,35.28,1.96,0,201.86,1.96,1.96,60.75,1.96,0,0,1.96,0,11.76,1.96,0,21.56,35.28,0,1.96,1.96,1009.29,0,1.96,3.92,0,0,7.84,0,1.96,0,13.72,1.96,3.92,1.96,1.96,43.12
