stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0.82,63.21,0.82,0,0,0,0.82,0,0.82,3.28,0
 36-46,0,0,0,18.53,0,0,0.81,0.81,0,0,0,0.81,0.81,493.88,0.81,0.81,0,0,0,0.81,0,39.48,0
 48-58,0,1.15,0.57,28.12,0.57,0.57,0,1.15,0,0,0,1.15,0,201.98,0,0,0,0,0,0,0,60.82,0
 60-70,0,1.96,0,19.63,0,0,0,1.96,0,0,0,0.98,0,67.73,0,0,0,0,0,0,0,17.67,0
 72-82,0,0,0,16.69,0,0.98,0,0,0,0,0,0.98,0,36.32,0,0,0,0,0,0,0,7.85,0
 84-94,0,0,2.12,11.68,1.06,0,0,0,1.06,0,0,1.06,0,15.93,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,6.56,0,0,0,0,0,0,0,0,0,13.11,0,0,0,0,0,0,0,2.19,1.09
108-118,0,0,0,6.89,0.77,0,0,0.77,0,0.77,0.77,5.36,0,15.32,0,0,0,0,0,0,0,0.77,1.53
120,0,1.96,0,9.8,0,0,0,0,0,0,0,0,0,21.56,0,0,0,0,1.96,0,0,0,0
