stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,0.82,0.82,7.39,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,1.61,0,0,0,2.42,0,0,0,0,0,0,0,0,4.83,0,6.45,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,4.59,0,0,0,0,0,0,0,17.21,1.15,9.75,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,12.76,0.98,0,0,0,0,0,0,49.08,0,25.52,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,15.71,1.96,11.78,0,0,0,0.98,0,0,0,135.47,0.98,19.63,0,0,0,0,0,0.98,1.96,2.94,0,0
 84-94,0,1.06,0,0,5.31,0,9.56,1.06,1.06,0,3.19,1.06,0,1.06,137,2.12,14.87,0,0,0,0,0,0,7.43,0,0,0
 96-106,0,4.37,0,0,12.02,0,9.84,6.56,0,0,1.09,0,0,0,156.28,0,29.51,0,0,0,1.09,2.19,0,8.74,1.09,1.09,2.19
108-118,0,0,0,0.77,4.6,0.77,12.26,3.83,0,0,3.06,0,0.77,0,136.34,0,25.28,0,0,0,0,0.77,0.77,22.21,0,0.77,0
120,0,1.96,1.96,0,0,0,1.96,1.96,0,0,3.92,0,0,0,103.87,0,11.76,1.96,0,0,0,0,0,9.8,0,0,0
