stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,16,1,4,0,0,0
 24-34,3.28,0,3.28,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0.82,42.68,0,1.64,1.64,52.53,0.82,7.39,0,0,0
 36-46,0.81,0,8.06,0.81,2.42,3.22,0,0,0,0,0,0,0,0,3.22,0,0.81,50.76,0,3.22,0,35.45,0,13.7,0,0,0
 48-58,1.72,0,9.18,0,1.15,2.3,0,0,0,0,0,0,0,0,1.72,1.15,0.57,37.3,0,0.57,0,33.28,0,6.89,0,1.72,0
 60-70,3.93,0.98,23.56,0,0,5.89,0,0,0,0,0,0,0,0,6.87,1.96,1.96,46.13,0,0.98,0,62.82,0,3.93,0.98,0,0.98
 72-82,5.89,0,18.65,0,0,6.87,0,0,0,0.98,0,0,0,0,5.89,1.96,0,38.28,0,0.98,0.98,55.95,0,2.94,0,1.96,0
 84-94,3.19,0,7.43,0,0,2.12,1.06,0,1.06,2.12,0,0,0,1.06,5.31,4.25,0,24.43,0,0,1.06,130.63,0,5.31,0,0,1.06
 96-106,16.39,0,8.74,0,0,3.28,0,1.09,1.09,1.09,1.09,2.19,0,1.09,4.37,1.09,0,10.93,0,0,0,116.93,0,1.09,4.37,1.09,1.09
108-118,16.09,0,4.6,2.3,0,2.3,0.77,0,2.3,0.77,1.53,0,0,1.53,3.83,2.3,0,12.26,0,3.83,1.53,72,0,1.53,3.83,1.53,0
120,19.6,1.96,3.92,7.84,0,5.88,3.92,0,0,0,0,0,1.96,0,3.92,1.96,1.96,17.64,0,3.92,1.96,97.99,0,1.96,0,1.96,0
