stage,epidermis,eye,fast.muscle,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,2.46,0,0.82,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,2.42,0.81,1.61,0,0.81,1.61,0
 48-58,0.57,1.15,0,0,0,0,0,0,0.57,1.15,0,0.57,0,0,0,0
 60-70,0,0.98,0,0,0.98,0,0,0,0,0.98,0,4.91,0,0,0,0
 72-82,0,0.98,0,0.98,0,0,0,0,0,1.96,0,1.96,0,0,0,0
 84-94,1.06,2.12,0,0,2.12,0,1.06,0,0,0,0,12.74,0,0,0,0
 96-106,1.09,1.09,0,0,1.09,0,0,0,0,3.28,0,9.84,0,0,0,0
108-118,0.77,0,0,0,0,0.77,0,0,0,1.53,0,6.13,0.77,0,0,0.77
120,1.96,0,0,0,3.92,0,0,0,0,1.96,0,17.64,0,0,0,0
