stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1027.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1084.95,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,10.51,0,31.54,0,0,0,44.69,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,444.25,13.14,0,0,170.87,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,40.91,0,0,0,97.56,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,427.99,18.88,0,0,154.2,0,0,0,0,15.73,6.29,0,0,0,0,0,0
 14-21,0,0,0,3,25,6,0,15,0,0,0,5,1,0,0,0,1,0,0,0,0,15,1,0,8,251,4,0,2,7,0,1,0,29,1,24,60,0,0,2,0,0
 24-34,0,0,0,3.28,11.49,1.64,0,37.76,0,1.64,0.82,6.57,1.64,0,1.64,0,3.28,0,1.64,0.82,0.82,33.66,1.64,0,19.7,411.25,0,3.28,4.93,0,0,9.85,0,0,2.46,8.21,89.47,0,0,7.39,0,0.82
 36-46,0,0,0,0,4.03,0.81,0,70.09,0,0,0,14.5,0.81,0,0.81,0,1.61,0,0,0,0,38.67,0,0.81,20.14,398.81,2.42,4.03,0,0,0,8.06,0,0,2.42,0,81.37,0,0,8.06,0,0.81
 48-58,0,0,0.57,0,7.46,0,0,108.45,0,1.15,2.3,26.97,0,0,0.57,1.15,0.57,0.57,1.72,0,0.57,55.66,0,2.3,8.03,353.46,0.57,4.02,1.15,0,0,4.02,0,0,0.57,0,83.78,0,0,3.44,0.57,0
 60-70,0,0,0,0,6.87,0.98,0,112.88,0,0.98,5.89,35.33,0.98,0,0.98,0.98,0,0,0,0.98,0,51.04,0.98,2.94,5.89,299.36,0.98,2.94,2.94,0,0,2.94,0,0,0,0,44.17,0,0,4.91,1.96,0.98
 72-82,0,0,0.98,0,5.89,0.98,0,138.41,1.96,0.98,3.93,40.25,0.98,0,2.94,0,0.98,0,3.93,0,1.96,102.09,0,2.94,8.83,263.09,0,4.91,0.98,0,0,4.91,0,0,0,0,21.6,0,0.98,8.83,1.96,0.98
 84-94,0,0,1.06,0,5.31,3.19,0,88.15,0,2.12,2.12,29.74,2.12,0,0,2.12,5.31,3.19,2.12,3.19,0,54.16,0,4.25,4.25,105.14,1.06,4.25,2.12,0,0,25.49,0,0,0,0,21.24,2.12,2.12,5.31,0,3.19
 96-106,0,0,1.09,0,6.56,4.37,1.09,56.83,0,3.28,1.09,29.51,2.19,0,1.09,4.37,1.09,2.19,1.09,1.09,0,63.39,1.09,1.09,8.74,87.43,3.28,8.74,6.56,0,2.19,15.3,0,0,0,0,5.46,0,1.09,7.65,1.09,1.09
108-118,0,0,0.77,0,13.02,2.3,1.53,47.49,1.53,1.53,2.3,23.74,3.06,0,1.53,0.77,3.06,2.3,1.53,0,0,45.19,0,0.77,6.89,111.06,0,0,1.53,0,1.53,10.72,0,0,0,0,3.83,0,0,10.72,2.3,2.3
120,0,0,1.96,0,19.6,3.92,0,47.03,0,1.96,1.96,33.32,1.96,0,0,9.8,1.96,1.96,1.96,0,0,39.2,0,0,7.84,129.35,0,0,1.96,0,0,11.76,0,0,0,0,1.96,5.88,1.96,1.96,1.96,0
