stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0
 14-21,0,20,0,0,2,0,1,3,0,0,0,0,2,0,2,38,0,0,3,4,8,14,0,0,0
 24-34,0,15.6,0,0,2.46,0,3.28,1.64,0,0,0,8.21,0.82,0,0.82,27.91,0,0,0,0,0,7.39,0,0,0
 36-46,0,0.81,0,0,1.61,0,0,1.61,0,0,0,15.31,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,2.87,0,0,0,8.03,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,77.54,0,0,0.98,0,0,0,9.82,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,0,222.84,0,0,1.96,0,0,0.98,17.67,2.94,0,0,6.87,0,2.94,0,0,0,0,0,0.98,0
 84-94,0,3.19,1.06,1.06,236.83,0,0,5.31,0,0,1.06,44.61,2.12,0,0,5.31,0,0,0,1.06,0,0,0,0,0
 96-106,0,4.37,1.09,0,218.57,0,2.19,4.37,0,2.19,1.09,36.06,3.28,2.19,0,8.74,1.09,1.09,0,0,0,0,0,1.09,0
108-118,0,3.06,1.53,0,180.77,0,1.53,0,0,0,0,43.66,2.3,0,0.77,7.66,0,0,0,0,0,0,0.77,0,0.77
120,0,0,1.96,0,113.67,1.96,1.96,0,0,0,0,35.28,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0
