stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,4.02,0,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,22.58,0,0,0,0,0,0,0,0,2.94,0,0.98,3.93,0,0,0.98,0,0.98,0,0
 72-82,0,0.98,0,0.98,53.01,0,0,1.96,0.98,0,0.98,0,0,6.87,0,0,15.71,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,42.48,0,0,5.31,0,0,0,0,0,4.25,0,0,8.5,0,0,0,0,2.12,0,1.06
 96-106,0,2.19,0,1.09,69.94,1.09,0,1.09,1.09,1.09,0,1.09,1.09,5.46,0,0,7.65,1.09,0,0,0,1.09,0,0
108-118,0,1.53,0.77,0.77,71.23,0,0,0.77,0.77,0.77,0.77,0,0,5.36,0.77,1.53,11.49,0,0.77,0,0,0,0,0.77
120,0,0,0,0,58.79,1.96,1.96,3.92,0,0,0,0,0,3.92,0,0,9.8,1.96,0,1.96,0,0,1.96,0
