stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.75,0,0,2.46,0.82,0,0,0,0,0,0,0,0,0,0,0,4.93,0.82,0,0,0,0,0,0,18.06,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,3.22,0.81,0,8.06,2.42,0,0,0,0,0,0,0,2.42,0,0,0,3.22,0,0,0,0,0,0,0,20.95,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,2.3,0,0,8.61,0,2.87,5.16,1.15,0,0,0,0.57,1.15,0,4.59,11.48,0,0,0.57,6.31,0,0,0,0,0,0,0,16.64,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,11.78,1.96,5.89,7.85,11.78,0,0,0,0,2.94,0,5.89,51.04,0,0.98,0,9.82,0.98,0,0,0,0,0.98,0,15.7,0,2.94,0,0,0,0
 72-82,0,0,0.98,1.96,2.94,0,0,25.52,1.96,16.69,22.58,35.34,0,0.98,0,0,9.82,0,64.79,157.07,0,0,5.89,18.65,3.93,0,0,0,0,0.98,0,32.39,0,3.93,1.96,0.98,0,0
 84-94,0,0,0,4.25,1.06,0,3.19,22.3,2.12,10.62,11.68,100.89,0,0,0,0,15.93,0,281.44,94.52,0,0,4.25,10.62,7.43,0,0,0,0,0,0,77.53,0,2.12,0,0,0,0
 96-106,0,0,2.19,3.28,3.28,0,0,25.14,2.19,13.11,19.67,88.52,0,0,2.19,1.09,26.23,0,385.77,183.6,1.09,3.28,5.46,72.13,6.56,0,1.09,0,1.09,3.28,1.09,50.27,0,5.46,1.09,2.19,2.19,0
108-118,0,0,1.53,14.55,6.89,1.53,0.77,18.38,1.53,13.79,9.19,91.15,0,0.77,0,0.77,32.17,0,729.96,240.51,0,0.77,2.3,55.92,12.26,0.77,0.77,0,0,1.53,0,52.85,0.77,4.6,0,0,1.53,0
120,0,0,1.96,3.92,1.96,0,1.96,13.72,1.96,7.84,7.84,52.91,0,0,1.96,0,11.76,1.96,260.65,145.02,0,0,5.88,27.44,11.76,0,0,0,0,0,0,37.24,0,0,0,0,0,0
