stage,axial,blastomeres,fin_epithelia,fin_mesenchyme,immune,mesenchyme,neural,paraxial_mesoderm,periderm,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0.81,0,3.22,0,2.42,0
 48-58,0,0,1.15,0.57,2.87,0,0,0,1.72,0
 60-70,0,0,1.96,0.98,0.98,0.98,0.98,0,0.98,0
 72-82,0,0,0.98,0,6.87,1.96,0,0,1.96,0
 84-94,0,0,1.06,0,9.56,1.06,0,0,4.25,0
 96-106,0,0,1.09,2.19,15.3,0,0,0,2.19,0
108-118,0,0,2.3,0,4.6,0.77,1.53,0,4.6,0
120,0,0,0,0,3.92,0,0,0,1.96,1.96
